Region,cluster_label,urbanisation_degree,education_level,age_class,sex,commute_bin,percentage
Türkiye,Low-HO,No response,All ISCED 2011 levels,50-74,female,percentage_0,24.62
Czechia,Low-HO,Rural areas,ISCED 3–4,35-49,male,percentage_0,3.05
Hungary,Low-HO,Total,All ISCED 2011 levels,35-49,female,percentage_0,4.60
Hungary,Low-HO,Cities,ISCED 3–4,50-74,male,percentage_0,16.04
Romania,Low-HO,Rural areas,All ISCED 2011 levels,50-74,female,percentage_0,10.72
Latvia,Low-HO,Total,ISCED 5–8,15-34,male,percentage_0,0.00
Slovenia,Mid-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_0,10.24
Belgium,High-HO,Towns and suburbs,ISCED 5–8,35-49,female,percentage_0,7.18
Slovenia,Mid-HO,Total,ISCED 3–4,35-49,female,percentage_0,0.78
Portugal,Mid-HO,Towns and suburbs,ISCED 3–4,15-34,male,percentage_0,0.00
France,Mid-HO,Cities,All ISCED 2011 levels,15-34,male,percentage_0,5.24
Austria,Mid-HO,Total,ISCED 5–8,50-74,male,percentage_0,1.55
Portugal,Mid-HO,Cities,ISCED 3–4,15-34,male,percentage_0,0.00
Germany,Mid-HO,Total,ISCED 0–2,35-49,male,percentage_0,0.00
Poland,Mid-HO,Towns and suburbs,ISCED 3–4,15-34,female,percentage_0,0.00
Italy,Low-HO,Rural areas,ISCED 3–4,35-49,male,percentage_0,2.09
Poland,Mid-HO,Cities,ISCED 3–4,15-34,female,percentage_0,0.00
Belgium,High-HO,Towns and suburbs,ISCED 3–4,35-49,female,percentage_0,8.40
Austria,Mid-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_0,5.66
Netherlands,High-HO,Rural areas,ISCED 3–4,50-74,male,percentage_0,21.67
Netherlands,High-HO,Towns and suburbs,ISCED 0–2,50-74,male,percentage_0,8.82
Czechia,Low-HO,Cities,ISCED 5–8,35-49,male,percentage_0,4.64
Finland,High-HO,Total,ISCED 3–4,35-49,male,percentage_0,3.46
Netherlands,High-HO,Total,ISCED 3–4,15-34,male,percentage_0,5.79
Romania,Low-HO,Total,ISCED 3–4,50-74,male,percentage_0,3.86
Czechia,Low-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_0,0.58
Austria,Mid-HO,Total,All ISCED 2011 levels,50-74,male,percentage_0,9.45
Finland,High-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_0,0.00
Cyprus,Low-HO,Total,ISCED 5–8,15-34,female,percentage_0,0.00
Belgium,High-HO,Towns and suburbs,ISCED 0–2,50-74,male,percentage_0,11.43
Hungary,Low-HO,Cities,ISCED 5–8,50-74,male,percentage_0,10.74
Italy,Low-HO,Towns and suburbs,All ISCED 2011 levels,15-34,female,percentage_0,0.77
Greece,Low-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_0,0.00
Germany,Mid-HO,Cities,ISCED 3–4,50-74,female,percentage_0,0.00
Bulgaria,Low-HO,Total,All ISCED 2011 levels,35-49,male,percentage_0,3.79
Slovakia,Low-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_0,2.90
Spain,Low-HO,Rural areas,ISCED 3–4,15-34,male,percentage_0,0.00
Cyprus,Low-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_0,0.00
Germany,Mid-HO,Total,ISCED 3–4,15-34,male,percentage_0,2.48
Italy,Low-HO,Total,All ISCED 2011 levels,15-34,male,percentage_0,1.36
Spain,Low-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_0,2.40
Bulgaria,Low-HO,Rural areas,All ISCED 2011 levels,35-49,female,percentage_0,6.63
Hungary,Low-HO,Cities,ISCED 3–4,15-34,male,percentage_0,3.81
Estonia,Mid-HO,Total,ISCED 5–8,35-49,male,percentage_0,0.00
Slovakia,Low-HO,Rural areas,ISCED 3–4,50-74,male,percentage_0,0.50
Cyprus,Low-HO,Total,All ISCED 2011 levels,35-49,female,percentage_0,9.73
Netherlands,High-HO,Cities,ISCED 5–8,50-74,male,percentage_0,11.44
Greece,Low-HO,Towns and suburbs,ISCED 5–8,50-74,male,percentage_0,0.00
Türkiye,Low-HO,Total,All ISCED 2011 levels,50-74,male,percentage_0,7.92
Finland,High-HO,Total,ISCED 5–8,35-49,male,percentage_0,5.63
Belgium,High-HO,Cities,ISCED 3–4,35-49,female,percentage_0,7.46
Denmark,High-HO,Total,All ISCED 2011 levels,35-49,male,percentage_0,7.01
Denmark,High-HO,Cities,ISCED 5–8,35-49,female,percentage_0,0.00
Germany,Mid-HO,Total,ISCED 5–8,50-74,male,percentage_0,9.26
Czechia,Low-HO,Total,ISCED 3–4,50-74,male,percentage_0,2.69
Spain,Low-HO,Rural areas,ISCED 5–8,35-49,male,percentage_0,0.00
Romania,Low-HO,Total,ISCED 0–2,15-34,female,percentage_0,7.69
Italy,Low-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_0,2.06
Germany,Mid-HO,Total,All ISCED 2011 levels,35-49,female,percentage_0,5.37
Czechia,Low-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_0,2.27
Denmark,High-HO,Rural areas,ISCED 3–4,35-49,female,percentage_0,1.08
Ireland,Mid-HO,Rural areas,ISCED 3–4,15-34,male,percentage_0,0.00
Ireland,Mid-HO,Total,All ISCED 2011 levels,50-74,male,percentage_0,21.14
Denmark,High-HO,Total,ISCED 3–4,35-49,male,percentage_0,6.71
Austria,Mid-HO,Cities,All ISCED 2011 levels,50-74,female,percentage_0,5.36
Romania,Low-HO,Rural areas,ISCED 0–2,50-74,male,percentage_0,13.12
Greece,Low-HO,Cities,ISCED 3–4,35-49,female,percentage_0,0.00
Greece,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_0,0.00
Slovenia,Mid-HO,Towns and suburbs,All ISCED 2011 levels,15-34,female,percentage_0,0.00
Poland,Mid-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_0,4.72
Latvia,Low-HO,Total,All ISCED 2011 levels,35-49,male,percentage_0,3.59
Türkiye,Low-HO,No response,ISCED 0–2,35-49,male,percentage_0,3.31
Belgium,High-HO,Rural areas,ISCED 3–4,35-49,male,percentage_0,16.03
Czechia,Low-HO,Towns and suburbs,ISCED 5–8,50-74,female,percentage_0,0.00
Belgium,High-HO,Towns and suburbs,ISCED 0–2,50-74,female,percentage_0,15.74
Denmark,High-HO,Rural areas,ISCED 0–2,50-74,male,percentage_0,8.54
Hungary,Low-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_0,10.85
Italy,Low-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_0,1.41
Poland,Mid-HO,Total,ISCED 3–4,15-34,male,percentage_0,4.34
Spain,Low-HO,Total,ISCED 5–8,50-74,female,percentage_0,4.01
Portugal,Mid-HO,Cities,ISCED 3–4,50-74,female,percentage_0,0.00
France,Mid-HO,Cities,All ISCED 2011 levels,50-74,female,percentage_0,11.73
Greece,Low-HO,Cities,ISCED 3–4,15-34,female,percentage_0,0.00
Sweden,High-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_0,0.00
Portugal,Mid-HO,Towns and suburbs,ISCED 5–8,35-49,male,percentage_0,0.00
Ireland,Mid-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_0,3.97
Netherlands,High-HO,Towns and suburbs,ISCED 0–2,15-34,male,percentage_0,5.67
Croatia,Low-HO,Total,ISCED 5–8,50-74,male,percentage_0,1.25
Bulgaria,Low-HO,Total,All ISCED 2011 levels,50-74,male,percentage_0,5.14
Hungary,Low-HO,Rural areas,All ISCED 2011 levels,50-74,female,percentage_0,4.56
Germany,Mid-HO,Cities,ISCED 5–8,35-49,male,percentage_0,5.91
Latvia,Low-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_0,0.00
Slovenia,Mid-HO,Towns and suburbs,All ISCED 2011 levels,35-49,female,percentage_0,0.00
Lithuania,Low-HO,Total,All ISCED 2011 levels,35-49,female,percentage_0,4.98
Denmark,High-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_0,23.48
Germany,Mid-HO,Total,ISCED 0–2,15-34,male,percentage_0,0.00
Poland,Mid-HO,Towns and suburbs,ISCED 5–8,15-34,male,percentage_0,6.00
Romania,Low-HO,Total,ISCED 0–2,15-34,male,percentage_0,4.30
Türkiye,Low-HO,Total,ISCED 0–2,15-34,female,percentage_0,15.41
Ireland,Mid-HO,Towns and suburbs,ISCED 5–8,35-49,female,percentage_0,0.00
Italy,Low-HO,Cities,ISCED 3–4,35-49,male,percentage_0,2.19
Denmark,High-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_0,6.91
Croatia,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_0,7.39
Lithuania,Low-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_0,6.58
Poland,Mid-HO,Towns and suburbs,ISCED 5–8,50-74,male,percentage_0,6.94
Czechia,Low-HO,Cities,ISCED 5–8,50-74,male,percentage_0,9.46
Czechia,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_0,3.38
Portugal,Mid-HO,Cities,ISCED 0–2,35-49,female,percentage_0,0.00
Slovenia,Mid-HO,Total,ISCED 3–4,50-74,female,percentage_0,17.14
Estonia,Mid-HO,Total,All ISCED 2011 levels,35-49,female,percentage_0,5.62
Belgium,High-HO,Towns and suburbs,ISCED 0–2,35-49,male,percentage_0,4.51
France,Mid-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_0,6.38
Greece,Low-HO,Rural areas,ISCED 0–2,50-74,male,percentage_0,0.00
Germany,Mid-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_0,8.02
Finland,High-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_0,4.03
Belgium,High-HO,Rural areas,All ISCED 2011 levels,35-49,female,percentage_0,9.67
Latvia,Low-HO,Towns and suburbs,All ISCED 2011 levels,35-49,female,percentage_0,0.00
Romania,Low-HO,Towns and suburbs,ISCED 3–4,50-74,male,percentage_0,0.00
Romania,Low-HO,Total,ISCED 3–4,35-49,male,percentage_0,4.65
Spain,Low-HO,Cities,ISCED 5–8,15-34,female,percentage_0,1.67
Portugal,Mid-HO,Total,ISCED 0–2,15-34,male,percentage_0,0.00
Austria,Mid-HO,Cities,ISCED 5–8,50-74,female,percentage_0,0.00
Italy,Low-HO,Total,ISCED 5–8,35-49,female,percentage_0,2.50
Sweden,High-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_0,0.00
France,Mid-HO,Cities,ISCED 3–4,50-74,male,percentage_0,0.00
Spain,Low-HO,Cities,ISCED 5–8,50-74,male,percentage_0,3.38
Spain,Low-HO,Towns and suburbs,ISCED 3–4,15-34,female,percentage_0,0.00
Türkiye,Low-HO,Total,All ISCED 2011 levels,50-74,female,percentage_0,24.62
Romania,Low-HO,Total,ISCED 3–4,35-49,female,percentage_0,2.74
Ireland,Mid-HO,Rural areas,ISCED 3–4,50-74,male,percentage_0,22.63
Türkiye,Low-HO,Total,ISCED 0–2,35-49,female,percentage_0,2.70
Czechia,Low-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_0,2.71
Denmark,High-HO,Cities,ISCED 5–8,35-49,male,percentage_0,0.00
Belgium,High-HO,Total,All ISCED 2011 levels,35-49,male,percentage_0,0.89
Croatia,Low-HO,Total,ISCED 5–8,35-49,female,percentage_0,0.00
Denmark,High-HO,Rural areas,ISCED 3–4,15-34,female,percentage_0,0.00
Ireland,Mid-HO,Rural areas,ISCED 5–8,35-49,male,percentage_0,10.80
Italy,Low-HO,Total,ISCED 3–4,50-74,female,percentage_0,0.20
Ireland,Mid-HO,Cities,ISCED 5–8,15-34,male,percentage_0,0.00
Belgium,High-HO,Cities,All ISCED 2011 levels,15-34,female,percentage_0,2.00
Czechia,Low-HO,Total,ISCED 5–8,50-74,male,percentage_0,7.91
Spain,Low-HO,Towns and suburbs,ISCED 0–2,15-34,female,percentage_0,0.00
Croatia,Low-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_0,6.95
Finland,High-HO,Towns and suburbs,ISCED 5–8,50-74,female,percentage_0,5.29
Czechia,Low-HO,Cities,ISCED 5–8,15-34,male,percentage_0,5.37
Bulgaria,Low-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_0,0.00
Hungary,Low-HO,Rural areas,ISCED 3–4,15-34,male,percentage_0,3.43
Poland,Mid-HO,Total,ISCED 0–2,50-74,male,percentage_0,11.79
Portugal,Mid-HO,Total,All ISCED 2011 levels,50-74,male,percentage_0,0.81
Netherlands,High-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_0,5.08
Greece,Low-HO,Rural areas,All ISCED 2011 levels,15-34,female,percentage_0,0.00
Finland,High-HO,Total,ISCED 3–4,35-49,female,percentage_0,3.81
Greece,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_0,0.00
Denmark,High-HO,Total,ISCED 0–2,35-49,female,percentage_0,0.00
Lithuania,Low-HO,Total,ISCED 5–8,35-49,female,percentage_0,0.00
Denmark,High-HO,Cities,ISCED 3–4,15-34,female,percentage_0,0.00
Germany,Mid-HO,Cities,ISCED 3–4,15-34,male,percentage_0,4.12
Slovenia,Mid-HO,Rural areas,All ISCED 2011 levels,50-74,female,percentage_0,21.04
Netherlands,High-HO,Towns and suburbs,ISCED 5–8,50-74,male,percentage_0,15.11
Sweden,High-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_0,0.00
France,Mid-HO,Cities,ISCED 5–8,35-49,male,percentage_0,0.00
Slovenia,Mid-HO,Towns and suburbs,ISCED 3–4,35-49,female,percentage_0,0.00
Czechia,Low-HO,Total,ISCED 0–2,35-49,female,percentage_0,0.00
Czechia,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_0,5.97
Slovakia,Low-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_0,3.22
Bulgaria,Low-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_0,0.00
Italy,Low-HO,Cities,ISCED 5–8,15-34,male,percentage_0,2.52
Lithuania,Low-HO,Cities,All ISCED 2011 levels,15-34,female,percentage_0,0.00
Belgium,High-HO,Rural areas,All ISCED 2011 levels,50-74,female,percentage_0,1.72
Spain,Low-HO,Total,ISCED 3–4,15-34,female,percentage_0,1.77
Finland,High-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_0,0.00
Croatia,Low-HO,Cities,ISCED 3–4,50-74,male,percentage_0,0.00
Sweden,High-HO,Total,ISCED 3–4,35-49,female,percentage_0,0.00
Denmark,High-HO,Rural areas,ISCED 5–8,50-74,female,percentage_0,0.00
Austria,Mid-HO,Total,ISCED 0–2,50-74,male,percentage_0,0.00
Austria,Mid-HO,Rural areas,ISCED 5–8,35-49,male,percentage_0,6.49
Spain,Low-HO,Towns and suburbs,ISCED 0–2,50-74,male,percentage_0,2.51
Italy,Low-HO,Rural areas,ISCED 5–8,35-49,female,percentage_0,2.18
Croatia,Low-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_0,15.33
Denmark,High-HO,Rural areas,All ISCED 2011 levels,35-49,female,percentage_0,8.49
Belgium,High-HO,Cities,ISCED 5–8,35-49,male,percentage_0,7.04
Belgium,High-HO,Cities,ISCED 5–8,50-74,female,percentage_0,1.30
Cyprus,Low-HO,Total,All ISCED 2011 levels,50-74,female,percentage_0,0.00
Ireland,Mid-HO,Rural areas,ISCED 5–8,50-74,female,percentage_0,16.87
Greece,Low-HO,Cities,ISCED 5–8,50-74,female,percentage_0,0.00
Türkiye,Low-HO,Total,ISCED 3–4,15-34,male,percentage_0,1.27
Ireland,Mid-HO,Towns and suburbs,ISCED 3–4,15-34,female,percentage_0,0.00
Spain,Low-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_0,1.86
Czechia,Low-HO,Cities,ISCED 3–4,50-74,male,percentage_0,3.63
Italy,Low-HO,Rural areas,ISCED 3–4,15-34,male,percentage_0,3.88
Finland,High-HO,Rural areas,ISCED 3–4,15-34,male,percentage_0,0.00
Hungary,Low-HO,Total,All ISCED 2011 levels,50-74,male,percentage_0,7.97
Germany,Mid-HO,Towns and suburbs,ISCED 3–4,15-34,female,percentage_0,0.00
Estonia,Mid-HO,Total,All ISCED 2011 levels,50-74,male,percentage_0,5.47
Netherlands,High-HO,Towns and suburbs,ISCED 0–2,50-74,female,percentage_0,20.47
Cyprus,Low-HO,Total,ISCED 5–8,35-49,female,percentage_0,0.00
Spain,Low-HO,Towns and suburbs,ISCED 0–2,35-49,male,percentage_0,1.29
Czechia,Low-HO,Total,All ISCED 2011 levels,50-74,female,percentage_0,6.11
Slovakia,Low-HO,Towns and suburbs,ISCED 3–4,50-74,female,percentage_0,6.85
Greece,Low-HO,Rural areas,ISCED 3–4,35-49,male,percentage_0,0.00
Romania,Low-HO,Cities,ISCED 5–8,35-49,male,percentage_0,0.00
Poland,Mid-HO,Total,ISCED 5–8,15-34,male,percentage_0,5.85
France,Mid-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_0,11.40
France,Mid-HO,Total,ISCED 0–2,50-74,female,percentage_0,13.81
Poland,Mid-HO,Cities,ISCED 3–4,15-34,male,percentage_0,3.69
Finland,High-HO,Total,ISCED 3–4,15-34,female,percentage_0,0.00
Ireland,Mid-HO,Towns and suburbs,ISCED 3–4,15-34,male,percentage_0,0.00
Poland,Mid-HO,Rural areas,ISCED 5–8,35-49,female,percentage_0,7.78
Sweden,High-HO,Rural areas,All ISCED 2011 levels,15-34,female,percentage_0,0.00
Croatia,Low-HO,Towns and suburbs,All ISCED 2011 levels,15-34,female,percentage_0,0.00
Türkiye,Low-HO,Total,ISCED 3–4,50-74,male,percentage_0,2.45
Denmark,High-HO,Rural areas,ISCED 5–8,50-74,male,percentage_0,11.94
Croatia,Low-HO,Rural areas,ISCED 3–4,15-34,male,percentage_0,6.49
Hungary,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_0,7.67
Austria,Mid-HO,Towns and suburbs,ISCED 3–4,15-34,female,percentage_0,0.00
Slovakia,Low-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_0,6.10
France,Mid-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_0,10.66
Italy,Low-HO,Total,All ISCED 2011 levels,35-49,male,percentage_0,1.55
Denmark,High-HO,Total,ISCED 0–2,15-34,male,percentage_0,0.00
Hungary,Low-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_0,10.73
Croatia,Low-HO,Total,ISCED 3–4,35-49,male,percentage_0,9.53
Poland,Mid-HO,Cities,ISCED 5–8,50-74,male,percentage_0,9.36
Italy,Low-HO,Rural areas,ISCED 3–4,35-49,female,percentage_0,1.41
Austria,Mid-HO,Towns and suburbs,ISCED 0–2,15-34,male,percentage_0,0.00
Czechia,Low-HO,Towns and suburbs,ISCED 5–8,15-34,male,percentage_0,0.00
Ireland,Mid-HO,Total,All ISCED 2011 levels,35-49,male,percentage_0,9.76
Slovenia,Mid-HO,Rural areas,All ISCED 2011 levels,15-34,female,percentage_0,7.93
Spain,Low-HO,Total,ISCED 5–8,15-34,male,percentage_0,3.81
Romania,Low-HO,Rural areas,ISCED 0–2,15-34,male,percentage_0,0.00
Ireland,Mid-HO,Towns and suburbs,ISCED 5–8,15-34,female,percentage_0,0.00
Croatia,Low-HO,Rural areas,ISCED 3–4,15-34,female,percentage_0,0.00
Romania,Low-HO,Rural areas,ISCED 0–2,50-74,female,percentage_0,11.88
Slovenia,Mid-HO,Total,All ISCED 2011 levels,35-49,male,percentage_0,1.34
Germany,Mid-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_0,4.98
Belgium,High-HO,Cities,ISCED 0–2,15-34,male,percentage_0,0.00
Netherlands,High-HO,Cities,ISCED 0–2,15-34,male,percentage_0,3.01
Belgium,High-HO,Total,All ISCED 2011 levels,50-74,male,percentage_0,14.56
Italy,Low-HO,Total,ISCED 3–4,15-34,female,percentage_0,1.01
Italy,Low-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_0,1.60
Bulgaria,Low-HO,Cities,ISCED 3–4,50-74,female,percentage_0,0.00
Ireland,Mid-HO,Total,ISCED 3–4,50-74,male,percentage_0,16.59
Romania,Low-HO,Towns and suburbs,ISCED 5–8,35-49,male,percentage_0,0.00
Poland,Mid-HO,Rural areas,ISCED 0–2,15-34,male,percentage_0,0.00
Belgium,High-HO,Towns and suburbs,All ISCED 2011 levels,35-49,female,percentage_0,6.81
Belgium,High-HO,Cities,ISCED 5–8,15-34,male,percentage_0,6.27
Croatia,Low-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_0,7.67
Hungary,Low-HO,Total,ISCED 0–2,50-74,male,percentage_0,8.61
Belgium,High-HO,Cities,ISCED 0–2,50-74,male,percentage_0,0.00
Türkiye,Low-HO,No response,All ISCED 2011 levels,15-34,male,percentage_0,2.12
Slovakia,Low-HO,Cities,ISCED 5–8,35-49,female,percentage_0,0.00
Türkiye,Low-HO,No response,ISCED 3–4,15-34,male,percentage_0,1.27
Finland,High-HO,Cities,ISCED 5–8,15-34,male,percentage_0,0.00
Italy,Low-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_0,2.30
Spain,Low-HO,Towns and suburbs,All ISCED 2011 levels,15-34,male,percentage_0,2.16
Netherlands,High-HO,Cities,All ISCED 2011 levels,15-34,male,percentage_0,3.79
Slovakia,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_0,0.00
Estonia,Mid-HO,Total,ISCED 5–8,50-74,male,percentage_0,0.00
France,Mid-HO,Total,ISCED 3–4,15-34,male,percentage_0,3.03
Portugal,Mid-HO,Cities,ISCED 3–4,35-49,female,percentage_0,0.00
Poland,Mid-HO,Cities,ISCED 5–8,35-49,male,percentage_0,6.09
Netherlands,High-HO,Cities,ISCED 0–2,50-74,male,percentage_0,0.87
Hungary,Low-HO,Total,ISCED 3–4,15-34,female,percentage_0,1.94
Italy,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_0,1.75
Czechia,Low-HO,Cities,All ISCED 2011 levels,15-34,male,percentage_0,0.31
Greece,Low-HO,Towns and suburbs,ISCED 0–2,50-74,male,percentage_0,0.00
Czechia,Low-HO,Cities,ISCED 5–8,50-74,female,percentage_0,8.46
Romania,Low-HO,Total,ISCED 0–2,35-49,male,percentage_0,4.84
Slovenia,Mid-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_0,11.73
Croatia,Low-HO,Rural areas,ISCED 3–4,50-74,male,percentage_0,11.36
Greece,Low-HO,Cities,ISCED 3–4,35-49,male,percentage_0,0.00
Hungary,Low-HO,Rural areas,ISCED 0–2,35-49,male,percentage_0,0.00
Estonia,Mid-HO,Total,ISCED 5–8,35-49,female,percentage_0,0.00
Sweden,High-HO,Cities,All ISCED 2011 levels,15-34,female,percentage_0,0.00
Romania,Low-HO,Total,ISCED 3–4,15-34,male,percentage_0,1.97
Germany,Mid-HO,Rural areas,All ISCED 2011 levels,15-34,female,percentage_0,0.00
Czechia,Low-HO,Total,ISCED 3–4,35-49,female,percentage_0,4.45
Spain,Low-HO,Rural areas,ISCED 5–8,15-34,female,percentage_0,0.00
France,Mid-HO,Towns and suburbs,ISCED 3–4,15-34,male,percentage_0,0.00
Greece,Low-HO,Total,ISCED 5–8,50-74,male,percentage_0,0.00
Slovenia,Mid-HO,Total,All ISCED 2011 levels,50-74,female,percentage_0,14.04
Ireland,Mid-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_0,24.23
Romania,Low-HO,Rural areas,ISCED 3–4,35-49,male,percentage_0,5.32
