"percentage_0","percentage_1_14","percentage_15_29","percentage_30_44","percentage_under45","percentage_45_59","percentage_60","percentage_over45","Region","cluster_label","urbanisation_degree","education_level","age_class","sex"
0.00,9.97,57.62,32.41,100.00,0.00,0.00,0.00,Portugal,Mid-HO,Towns and suburbs,ISCED 3–4,"35-49",male
0.00,30.54,33.64,19.88,84.06,7.56,8.39,15.95,Denmark,High-HO,Towns and suburbs,All ISCED 2011 levels,"15-34",female
3.68,40.17,36.81,2.18,82.84,5.62,11.54,17.16,Spain,Low-HO,Total,All ISCED 2011 levels,"50-74",male
0.80,31.85,32.05,29.45,94.15,4.86,1.00,5.86,Hungary,Low-HO,Rural areas,ISCED 3–4,"50-74",male
0.00,10.49,22.44,41.57,74.50,9.03,16.47,25.50,Latvia,Low-HO,Total,ISCED 3–4,"15-34",male
0.00,1.79,55.12,36.75,93.66,0.00,6.34,6.34,Lithuania,Low-HO,Cities,ISCED 5–8,"15-34",female
0.00,38.48,39.06,16.36,93.90,3.29,2.81,6.10,Greece,Low-HO,Total,ISCED 3–4,"35-49",male
9.85,6.82,49.43,18.75,84.85,7.10,8.05,15.15,Austria,Mid-HO,Rural areas,ISCED 3–4,"35-49",female
3.70,52.99,35.14,1.73,93.56,5.66,0.78,6.44,Portugal,Mid-HO,Total,All ISCED 2011 levels,"35-49",female
3.02,32.53,30.11,20.16,85.82,4.62,9.56,14.18,Italy,Low-HO,Cities,All ISCED 2011 levels,"50-74",male
0.00,7.46,10.86,54.45,72.77,0.00,27.23,27.23,France,Mid-HO,Cities,ISCED 3–4,"15-34",female
0.00,33.04,32.80,18.33,84.17,6.61,9.21,15.82,France,Mid-HO,Towns and suburbs,All ISCED 2011 levels,"15-34",male
0.00,45.17,52.65,2.18,100.00,0.00,0.00,0.00,Ireland,Mid-HO,Rural areas,ISCED 3–4,"15-34",female
0.00,37.22,39.85,22.93,100.00,0.00,0.00,0.00,Malta,Mid-HO,Total,All ISCED 2011 levels,"35-49",female
0.00,26.36,52.18,15.47,94.01,0.00,5.99,5.99,Slovakia,Low-HO,Towns and suburbs,All ISCED 2011 levels,"15-34",female
2.76,29.31,43.65,3.10,78.82,7.74,13.44,21.18,Czechia,Low-HO,Total,ISCED 3–4,"15-34",male
3.95,23.47,3.34,43.49,74.25,8.79,16.96,25.75,Hungary,Low-HO,Rural areas,All ISCED 2011 levels,"15-34",male
16.07,80.06,3.87,0.00,100.00,0.00,0.00,0.00,Austria,Mid-HO,Rural areas,ISCED 0–2,"50-74",female
0.00,92.53,5.66,1.82,100.01,0.00,0.00,0.00,Portugal,Mid-HO,Total,ISCED 0–2,"15-34",female
12.12,51.74,4.80,18.37,87.03,6.84,6.12,12.96,Belgium,High-HO,Total,ISCED 0–2,"50-74",female
7.43,27.13,37.34,16.83,88.73,4.48,6.78,11.26,Netherlands,High-HO,Cities,ISCED 3–4,"50-74",female
10.60,3.83,24.08,36.16,74.67,13.33,12.00,25.33,Hungary,Low-HO,Cities,ISCED 5–8,"35-49",male
1.26,31.13,51.89,2.83,87.11,0.00,12.89,12.89,Slovenia,Mid-HO,Total,ISCED 5–8,"15-34",male
10.75,32.62,30.85,14.31,88.53,5.54,5.93,11.47,France,Mid-HO,Total,ISCED 3–4,"50-74",female
0.00,40.58,41.46,9.53,91.57,8.43,0.00,8.43,Finland,High-HO,Total,ISCED 0–2,"15-34",female
1.79,3.74,43.09,29.87,78.49,6.45,15.05,21.50,Italy,Low-HO,Total,ISCED 5–8,"15-34",female
24.62,52.40,2.43,13.55,93.00,2.66,4.34,7.00,Türkiye,Low-HO,No response,All ISCED 2011 levels,"50-74",female
3.05,25.82,31.93,22.43,83.23,5.76,11.01,16.77,Czechia,Low-HO,Rural areas,ISCED 3–4,"35-49",male
4.60,23.94,31.44,24.50,84.48,6.85,8.67,15.52,Hungary,Low-HO,Total,All ISCED 2011 levels,"35-49",female
16.04,19.17,4.30,49.15,88.66,1.43,9.91,11.34,Hungary,Low-HO,Cities,ISCED 3–4,"50-74",male
10.72,44.06,26.55,12.88,94.21,3.21,2.57,5.78,Romania,Low-HO,Rural areas,All ISCED 2011 levels,"50-74",female
0.00,14.22,22.10,30.85,67.17,14.44,18.38,32.82,Latvia,Low-HO,Total,ISCED 5–8,"15-34",male
10.24,36.30,31.85,21.60,99.99,0.00,0.00,0.00,Slovenia,Mid-HO,Towns and suburbs,ISCED 3–4,"35-49",male
7.18,2.70,34.81,25.43,70.12,14.09,15.78,29.87,Belgium,High-HO,Towns and suburbs,ISCED 5–8,"35-49",female
0.78,39.71,34.24,19.92,94.65,0.00,5.34,5.34,Slovenia,Mid-HO,Total,ISCED 3–4,"35-49",female
0.00,69.15,5.55,25.30,100.00,0.00,0.00,0.00,Portugal,Mid-HO,Towns and suburbs,ISCED 3–4,"15-34",male
5.24,20.82,35.45,26.63,88.14,1.13,10.74,11.87,France,Mid-HO,Cities,All ISCED 2011 levels,"15-34",male
1.55,59.46,4.59,3.25,68.85,13.77,17.37,31.14,Austria,Mid-HO,Total,ISCED 5–8,"50-74",male
0.00,40.34,44.02,2.89,87.25,0.00,12.75,12.75,Portugal,Mid-HO,Cities,ISCED 3–4,"15-34",male
0.00,31.63,34.10,22.36,88.09,0.00,11.91,11.91,Germany,Mid-HO,Total,ISCED 0–2,"35-49",male
0.00,23.15,49.21,19.82,92.18,5.58,2.25,7.83,Poland,Mid-HO,Towns and suburbs,ISCED 3–4,"15-34",female
2.09,5.93,42.45,26.36,76.83,7.46,15.71,23.17,Italy,Low-HO,Rural areas,ISCED 3–4,"35-49",male
0.00,22.10,41.24,29.51,92.85,3.84,3.30,7.14,Poland,Mid-HO,Cities,ISCED 3–4,"15-34",female
8.40,30.36,34.16,16.56,89.48,4.89,5.64,10.53,Belgium,High-HO,Towns and suburbs,ISCED 3–4,"35-49",female
5.66,48.64,24.74,10.69,89.73,5.40,4.87,10.27,Austria,Mid-HO,Towns and suburbs,All ISCED 2011 levels,"50-74",female
21.67,22.99,27.23,1.76,73.65,10.83,15.52,26.35,Netherlands,High-HO,Rural areas,ISCED 3–4,"50-74",male
8.82,39.59,35.83,1.59,85.83,7.88,6.29,14.17,Netherlands,High-HO,Towns and suburbs,ISCED 0–2,"50-74",male
4.64,8.79,26.86,42.26,82.55,10.48,6.96,17.44,Czechia,Low-HO,Cities,ISCED 5–8,"35-49",male
3.46,36.73,42.64,2.77,85.60,7.67,6.73,14.40,Finland,High-HO,Total,ISCED 3–4,"35-49",male
5.79,41.74,4.54,24.89,76.96,9.23,13.81,23.04,Netherlands,High-HO,Total,ISCED 3–4,"15-34",male
3.86,24.79,49.68,3.90,82.23,10.64,7.14,17.78,Romania,Low-HO,Total,ISCED 3–4,"50-74",male
0.58,17.48,33.42,33.20,84.68,1.35,13.97,15.32,Czechia,Low-HO,Cities,All ISCED 2011 levels,"50-74",male
9.45,47.23,4.02,26.73,87.43,11.34,1.24,12.58,Austria,Mid-HO,Total,All ISCED 2011 levels,"50-74",male
0.00,41.62,33.10,16.42,91.14,4.00,4.87,8.87,Finland,High-HO,Towns and suburbs,All ISCED 2011 levels,"15-34",male
0.00,32.79,51.40,15.81,100.00,0.00,0.00,0.00,Cyprus,Low-HO,Total,ISCED 5–8,"15-34",female
11.43,27.76,32.37,18.64,90.20,4.61,5.19,9.80,Belgium,High-HO,Towns and suburbs,ISCED 0–2,"50-74",male
10.74,9.89,27.11,31.99,79.73,6.23,14.04,20.27,Hungary,Low-HO,Cities,ISCED 5–8,"50-74",male
0.77,44.14,30.52,16.86,92.29,0.26,7.45,7.71,Italy,Low-HO,Towns and suburbs,All ISCED 2011 levels,"15-34",female
0.00,81.22,5.78,13.00,100.00,0.00,0.00,0.00,Greece,Low-HO,Rural areas,All ISCED 2011 levels,"35-49",male
0.00,38.92,5.25,33.61,77.78,9.29,12.92,22.21,Germany,Mid-HO,Cities,ISCED 3–4,"50-74",female
3.79,16.20,36.19,31.99,88.17,6.43,5.40,11.83,Bulgaria,Low-HO,Total,All ISCED 2011 levels,"35-49",male
2.90,16.35,42.60,27.65,89.50,5.49,5.00,10.49,Slovakia,Low-HO,Rural areas,All ISCED 2011 levels,"15-34",male
0.00,46.25,30.78,15.32,92.35,0.00,7.66,7.66,Spain,Low-HO,Rural areas,ISCED 3–4,"15-34",male
0.00,35.51,50.47,14.02,100.00,0.00,0.00,0.00,Cyprus,Low-HO,Cities,All ISCED 2011 levels,"50-74",male
2.48,29.74,36.10,22.07,90.39,0.66,8.94,9.60,Germany,Mid-HO,Total,ISCED 3–4,"15-34",male
1.36,38.03,32.57,16.70,88.66,3.65,7.70,11.35,Italy,Low-HO,Total,All ISCED 2011 levels,"15-34",male
2.40,39.35,31.56,13.33,86.64,5.31,8.05,13.36,Spain,Low-HO,Towns and suburbs,ISCED 3–4,"35-49",male
6.63,47.57,5.68,32.66,92.54,6.51,0.95,7.46,Bulgaria,Low-HO,Rural areas,All ISCED 2011 levels,"35-49",female
3.81,8.77,32.79,37.82,83.19,9.58,7.22,16.80,Hungary,Low-HO,Cities,ISCED 3–4,"15-34",male
0.00,31.88,42.81,25.31,100.00,0.00,0.00,0.00,Estonia,Mid-HO,Total,ISCED 5–8,"35-49",male
0.50,25.50,42.03,23.50,91.53,3.65,4.82,8.47,Slovakia,Low-HO,Rural areas,ISCED 3–4,"50-74",male
9.73,37.05,39.48,13.73,99.99,0.00,0.00,0.00,Cyprus,Low-HO,Total,All ISCED 2011 levels,"35-49",female
11.44,15.57,25.01,18.41,70.43,12.03,17.55,29.58,Netherlands,High-HO,Cities,ISCED 5–8,"50-74",male
0.00,46.54,30.26,16.69,93.49,0.00,6.51,6.51,Greece,Low-HO,Towns and suburbs,ISCED 5–8,"50-74",male
7.92,5.83,44.33,28.03,86.11,5.18,8.71,13.89,Türkiye,Low-HO,Total,All ISCED 2011 levels,"50-74",male
5.63,22.15,37.19,22.34,87.31,7.64,5.05,12.69,Finland,High-HO,Total,ISCED 5–8,"35-49",male
7.46,27.68,34.74,17.10,86.98,5.29,7.73,13.02,Belgium,High-HO,Cities,ISCED 3–4,"35-49",female
7.01,29.16,38.38,2.81,77.36,10.76,11.88,22.64,Denmark,High-HO,Total,All ISCED 2011 levels,"35-49",male
0.00,23.80,58.98,3.14,85.92,14.07,0.00,14.07,Denmark,High-HO,Cities,ISCED 5–8,"35-49",female
9.26,22.38,26.72,21.54,79.90,8.59,11.51,20.10,Germany,Mid-HO,Total,ISCED 5–8,"50-74",male
2.69,24.47,35.00,22.66,84.82,6.54,8.63,15.17,Czechia,Low-HO,Total,ISCED 3–4,"50-74",male
0.00,34.69,32.83,14.10,81.62,6.70,11.68,18.38,Spain,Low-HO,Rural areas,ISCED 5–8,"35-49",male
7.69,45.31,31.71,15.30,100.01,0.00,0.00,0.00,Romania,Low-HO,Total,ISCED 0–2,"15-34",female
2.06,42.81,29.93,15.72,90.52,2.62,6.86,9.48,Italy,Low-HO,Rural areas,All ISCED 2011 levels,"15-34",male
5.37,38.32,39.88,2.26,85.83,6.36,7.81,14.17,Germany,Mid-HO,Total,All ISCED 2011 levels,"35-49",female
2.27,25.82,36.38,19.77,84.24,4.64,11.12,15.76,Czechia,Low-HO,Towns and suburbs,All ISCED 2011 levels,"15-34",male
1.08,32.77,38.77,18.92,91.54,8.46,0.00,8.46,Denmark,High-HO,Rural areas,ISCED 3–4,"35-49",female
0.00,29.29,33.82,22.60,85.71,0.00,14.29,14.29,Ireland,Mid-HO,Rural areas,ISCED 3–4,"15-34",male
21.14,28.32,27.98,2.09,79.53,7.73,12.74,20.47,Ireland,Mid-HO,Total,All ISCED 2011 levels,"50-74",male
6.71,25.52,29.48,20.33,82.04,8.48,9.48,17.96,Denmark,High-HO,Total,ISCED 3–4,"35-49",male
5.36,19.96,34.96,28.38,88.66,10.66,0.68,11.34,Austria,Mid-HO,Cities,All ISCED 2011 levels,"50-74",female
13.12,8.27,57.21,21.39,99.99,0.00,0.00,0.00,Romania,Low-HO,Rural areas,ISCED 0–2,"50-74",male
0.00,28.23,35.52,23.98,87.73,6.30,5.97,12.27,Greece,Low-HO,Cities,ISCED 3–4,"35-49",female
0.00,67.67,4.87,15.87,88.41,8.08,3.51,11.59,Greece,Low-HO,Towns and suburbs,All ISCED 2011 levels,"50-74",female
0.00,36.68,39.26,24.07,100.01,0.00,0.00,0.00,Slovenia,Mid-HO,Towns and suburbs,All ISCED 2011 levels,"15-34",female
4.72,2.26,47.50,38.11,92.59,0.61,6.80,7.41,Poland,Mid-HO,Cities,All ISCED 2011 levels,"35-49",female
3.59,13.26,29.14,31.69,77.68,7.85,14.48,22.33,Latvia,Low-HO,Total,All ISCED 2011 levels,"35-49",male
3.31,31.65,34.62,24.80,94.38,4.79,0.84,5.63,Türkiye,Low-HO,No response,ISCED 0–2,"35-49",male
16.03,23.97,20.50,27.77,88.27,0.99,10.74,11.73,Belgium,High-HO,Rural areas,ISCED 3–4,"35-49",male
0.00,33.84,38.83,18.87,91.54,0.00,8.46,8.46,Czechia,Low-HO,Towns and suburbs,ISCED 5–8,"50-74",female
15.74,6.60,60.66,17.01,100.01,0.00,0.00,0.00,Belgium,High-HO,Towns and suburbs,ISCED 0–2,"50-74",female
8.54,30.49,32.82,16.31,88.16,0.00,11.84,11.84,Denmark,High-HO,Rural areas,ISCED 0–2,"50-74",male
10.85,11.14,27.92,31.92,81.83,8.24,9.93,18.17,Hungary,Low-HO,Cities,All ISCED 2011 levels,"50-74",male
1.41,41.38,30.86,16.56,90.21,0.33,9.46,9.79,Italy,Low-HO,Towns and suburbs,ISCED 3–4,"35-49",male
4.34,22.56,38.32,24.22,89.44,3.93,6.64,10.57,Poland,Mid-HO,Total,ISCED 3–4,"15-34",male
4.01,27.94,33.80,17.73,83.48,5.89,10.64,16.53,Spain,Low-HO,Total,ISCED 5–8,"50-74",female
0.00,32.51,35.57,17.06,85.14,0.00,14.87,14.87,Portugal,Mid-HO,Cities,ISCED 3–4,"50-74",female
11.73,27.22,38.90,2.48,80.33,9.87,9.79,19.66,France,Mid-HO,Cities,All ISCED 2011 levels,"50-74",female
0.00,25.31,34.91,26.89,87.11,6.45,6.45,12.90,Greece,Low-HO,Cities,ISCED 3–4,"15-34",female
0.00,29.23,27.94,22.83,80.00,8.31,11.70,20.01,Sweden,High-HO,Towns and suburbs,All ISCED 2011 levels,"35-49",male
0.00,44.39,36.56,19.05,100.00,0.00,0.00,0.00,Portugal,Mid-HO,Towns and suburbs,ISCED 5–8,"35-49",male
3.97,17.95,33.60,22.64,78.16,8.58,13.27,21.85,Ireland,Mid-HO,Cities,All ISCED 2011 levels,"35-49",female
5.67,52.50,23.14,10.46,91.77,3.10,5.13,8.23,Netherlands,High-HO,Towns and suburbs,ISCED 0–2,"15-34",male
1.25,36.21,30.41,22.10,89.97,0.00,10.03,10.03,Croatia,Low-HO,Total,ISCED 5–8,"50-74",male
5.14,2.18,45.13,36.37,88.82,6.25,4.95,11.20,Bulgaria,Low-HO,Total,All ISCED 2011 levels,"50-74",male
4.56,40.70,24.29,19.41,88.96,4.34,6.70,11.04,Hungary,Low-HO,Rural areas,All ISCED 2011 levels,"50-74",female
5.91,15.49,34.72,22.63,78.75,9.92,11.34,21.26,Germany,Mid-HO,Cities,ISCED 5–8,"35-49",male
0.00,12.68,21.68,28.83,63.19,13.09,23.72,36.81,Latvia,Low-HO,Rural areas,All ISCED 2011 levels,"15-34",male
0.00,40.09,33.74,20.57,94.40,0.00,5.60,5.60,Slovenia,Mid-HO,Towns and suburbs,All ISCED 2011 levels,"35-49",female
4.98,40.12,7.69,38.29,91.08,3.73,5.20,8.93,Lithuania,Low-HO,Total,All ISCED 2011 levels,"35-49",female
23.48,6.08,12.98,9.39,51.93,22.38,25.69,48.07,Denmark,High-HO,Cities,All ISCED 2011 levels,"50-74",male
0.00,29.24,32.35,21.86,83.45,6.76,9.79,16.55,Germany,Mid-HO,Total,ISCED 0–2,"15-34",male
6.00,25.91,39.64,20.08,91.63,0.00,8.37,8.37,Poland,Mid-HO,Towns and suburbs,ISCED 5–8,"15-34",male
4.30,28.22,31.47,23.59,87.58,7.63,4.79,12.42,Romania,Low-HO,Total,ISCED 0–2,"15-34",male
15.41,33.85,25.36,17.20,91.82,3.84,4.34,8.18,Türkiye,Low-HO,Total,ISCED 0–2,"15-34",female
0.00,38.78,36.51,23.13,98.42,0.00,1.59,1.59,Ireland,Mid-HO,Towns and suburbs,ISCED 5–8,"35-49",female
2.19,33.92,31.60,22.89,90.60,0.58,8.81,9.39,Italy,Low-HO,Cities,ISCED 3–4,"35-49",male
6.91,26.90,27.60,18.94,80.35,9.06,10.58,19.64,Denmark,High-HO,Rural areas,All ISCED 2011 levels,"35-49",male
7.39,41.12,24.25,15.05,87.81,0.00,12.19,12.19,Croatia,Low-HO,Towns and suburbs,All ISCED 2011 levels,"50-74",female
6.58,30.94,32.71,23.38,93.61,0.00,6.39,6.39,Lithuania,Low-HO,Rural areas,All ISCED 2011 levels,"50-74",male
6.94,31.87,39.00,1.17,78.98,8.41,12.61,21.02,Poland,Mid-HO,Towns and suburbs,ISCED 5–8,"50-74",male
9.46,10.54,28.38,28.26,76.64,10.42,12.93,23.35,Czechia,Low-HO,Cities,ISCED 5–8,"50-74",male
3.38,26.57,37.21,19.32,86.48,3.98,9.53,13.51,Czechia,Low-HO,Towns and suburbs,All ISCED 2011 levels,"50-74",male
0.00,32.42,31.96,19.74,84.12,0.00,15.89,15.89,Portugal,Mid-HO,Cities,ISCED 0–2,"35-49",female
17.14,31.59,34.44,16.83,100.00,0.00,0.00,0.00,Slovenia,Mid-HO,Total,ISCED 3–4,"50-74",female
5.62,37.15,44.06,2.16,88.99,6.05,4.97,11.02,Estonia,Mid-HO,Total,All ISCED 2011 levels,"35-49",female
4.51,21.05,35.21,17.42,78.19,9.40,12.41,21.81,Belgium,High-HO,Towns and suburbs,ISCED 0–2,"35-49",male
6.38,27.93,29.76,17.98,82.05,7.47,10.48,17.95,France,Mid-HO,Towns and suburbs,All ISCED 2011 levels,"50-74",male
0.00,14.34,72.05,13.61,100.00,0.00,0.00,0.00,Greece,Low-HO,Rural areas,ISCED 0–2,"50-74",male
8.02,38.77,3.95,26.64,77.38,9.42,13.19,22.61,Germany,Mid-HO,Towns and suburbs,All ISCED 2011 levels,"50-74",male
4.03,44.64,23.87,13.59,86.13,7.69,6.18,13.87,Finland,High-HO,Rural areas,All ISCED 2011 levels,"50-74",male
9.67,24.49,32.20,20.33,86.69,6.20,7.11,13.31,Belgium,High-HO,Rural areas,All ISCED 2011 levels,"35-49",female
0.00,28.20,35.08,21.97,85.25,0.00,14.75,14.75,Latvia,Low-HO,Towns and suburbs,All ISCED 2011 levels,"35-49",female
0.00,2.23,48.38,33.98,84.59,10.03,5.39,15.42,Romania,Low-HO,Towns and suburbs,ISCED 3–4,"50-74",male
4.65,35.44,9.45,8.31,57.85,23.07,19.08,42.15,Romania,Low-HO,Total,ISCED 3–4,"35-49",male
1.67,21.77,37.32,26.28,87.04,0.75,12.21,12.96,Spain,Low-HO,Cities,ISCED 5–8,"15-34",female
0.00,55.32,41.07,2.72,99.11,0.00,0.88,0.88,Portugal,Mid-HO,Total,ISCED 0–2,"15-34",male
0.00,20.00,40.00,29.81,89.81,10.19,0.00,10.19,Austria,Mid-HO,Cities,ISCED 5–8,"50-74",female
2.50,35.81,31.99,18.40,88.70,0.52,10.78,11.30,Italy,Low-HO,Total,ISCED 5–8,"35-49",female
0.00,45.37,32.85,2.43,80.65,0.00,19.35,19.35,Sweden,High-HO,Rural areas,All ISCED 2011 levels,"50-74",male
0.00,30.69,39.85,19.15,89.69,0.00,10.30,10.30,France,Mid-HO,Cities,ISCED 3–4,"50-74",male
3.38,23.45,34.01,22.84,83.68,5.86,10.46,16.32,Spain,Low-HO,Cities,ISCED 5–8,"50-74",male
0.00,82.00,4.87,2.26,89.13,0.00,10.87,10.87,Spain,Low-HO,Towns and suburbs,ISCED 3–4,"15-34",female
24.62,52.40,2.43,13.55,93.00,2.66,4.34,7.00,Türkiye,Low-HO,Total,All ISCED 2011 levels,"50-74",female
2.74,16.88,44.90,29.71,94.23,0.76,5.01,5.77,Romania,Low-HO,Total,ISCED 3–4,"35-49",female
22.63,28.76,24.49,15.58,91.46,0.00,8.53,8.53,Ireland,Mid-HO,Rural areas,ISCED 3–4,"50-74",male
2.70,50.12,34.65,2.10,89.57,4.30,6.12,10.42,Türkiye,Low-HO,Total,ISCED 0–2,"35-49",female
2.71,29.20,46.07,2.51,80.49,5.31,14.20,19.51,Czechia,Low-HO,Towns and suburbs,ISCED 3–4,"35-49",male
0.00,23.67,54.09,3.30,81.06,9.04,9.90,18.94,Denmark,High-HO,Cities,ISCED 5–8,"35-49",male
0.89,20.56,31.72,22.67,75.84,9.68,14.48,24.16,Belgium,High-HO,Total,All ISCED 2011 levels,"35-49",male
0.00,33.51,6.68,38.56,78.75,11.85,9.40,21.25,Croatia,Low-HO,Total,ISCED 5–8,"35-49",female
0.00,40.93,40.51,18.57,100.01,0.00,0.00,0.00,Denmark,High-HO,Rural areas,ISCED 3–4,"15-34",female
10.80,18.18,34.47,2.46,65.91,12.50,21.59,34.09,Ireland,Mid-HO,Rural areas,ISCED 5–8,"35-49",male
0.20,44.88,30.40,14.40,89.88,3.98,6.14,10.12,Italy,Low-HO,Total,ISCED 3–4,"50-74",female
0.00,19.01,40.49,31.07,90.57,7.88,1.55,9.43,Ireland,Mid-HO,Cities,ISCED 5–8,"15-34",male
2.00,22.78,41.08,23.06,88.92,10.11,0.98,11.09,Belgium,High-HO,Cities,All ISCED 2011 levels,"15-34",female
7.91,17.74,29.33,22.78,77.76,8.92,13.31,22.23,Czechia,Low-HO,Total,ISCED 5–8,"50-74",male
0.00,50.23,24.41,17.37,92.01,2.75,5.23,7.98,Spain,Low-HO,Towns and suburbs,ISCED 0–2,"15-34",female
6.95,34.75,32.68,25.10,99.48,0.00,0.52,0.52,Croatia,Low-HO,Towns and suburbs,All ISCED 2011 levels,"35-49",male
5.29,32.62,35.39,15.24,88.54,6.68,4.79,11.47,Finland,High-HO,Towns and suburbs,ISCED 5–8,"50-74",female
5.37,12.15,3.11,52.12,72.75,22.18,5.08,27.26,Czechia,Low-HO,Cities,ISCED 5–8,"15-34",male
0.00,16.41,60.93,5.36,82.70,12.31,4.99,17.30,Bulgaria,Low-HO,Cities,All ISCED 2011 levels,"35-49",female
3.43,16.20,26.81,33.98,80.42,6.81,12.77,19.58,Hungary,Low-HO,Rural areas,ISCED 3–4,"15-34",male
11.79,41.00,26.42,20.79,100.00,0.00,0.00,0.00,Poland,Mid-HO,Total,ISCED 0–2,"50-74",male
0.81,42.80,31.80,14.98,90.39,3.38,6.23,9.61,Portugal,Mid-HO,Total,All ISCED 2011 levels,"50-74",male
5.08,29.01,32.73,20.71,87.53,11.28,1.18,12.46,Netherlands,High-HO,Towns and suburbs,ISCED 3–4,"35-49",male
0.00,9.70,72.39,17.91,100.00,0.00,0.00,0.00,Greece,Low-HO,Rural areas,All ISCED 2011 levels,"15-34",female
3.81,44.85,38.87,2.16,89.69,6.41,3.90,10.31,Finland,High-HO,Total,ISCED 3–4,"35-49",female
0.00,7.92,54.55,24.10,86.57,6.51,6.92,13.43,Greece,Low-HO,Towns and suburbs,All ISCED 2011 levels,"50-74",male
0.00,41.30,40.27,18.43,100.00,0.00,0.00,0.00,Denmark,High-HO,Total,ISCED 0–2,"35-49",female
0.00,21.22,49.04,25.89,96.15,0.00,3.86,3.86,Lithuania,Low-HO,Total,ISCED 5–8,"35-49",female
0.00,28.38,41.74,22.37,92.49,6.76,0.75,7.51,Denmark,High-HO,Cities,ISCED 3–4,"15-34",female
4.12,23.43,35.20,21.71,84.46,7.36,8.18,15.54,Germany,Mid-HO,Cities,ISCED 3–4,"15-34",male
21.04,32.03,31.84,15.08,99.99,0.00,0.00,0.00,Slovenia,Mid-HO,Rural areas,All ISCED 2011 levels,"50-74",female
15.11,15.97,24.68,21.45,77.21,1.56,21.22,22.78,Netherlands,High-HO,Towns and suburbs,ISCED 5–8,"50-74",male
0.00,38.15,33.23,15.87,87.25,0.00,12.75,12.75,Sweden,High-HO,Towns and suburbs,All ISCED 2011 levels,"15-34",male
0.00,25.66,40.54,30.71,96.91,1.47,1.61,3.08,France,Mid-HO,Cities,ISCED 5–8,"35-49",male
0.00,50.54,30.82,18.64,100.00,0.00,0.00,0.00,Slovenia,Mid-HO,Towns and suburbs,ISCED 3–4,"35-49",female
0.00,34.34,40.07,25.59,100.00,0.00,0.00,0.00,Czechia,Low-HO,Total,ISCED 0–2,"35-49",female
5.97,30.56,38.26,16.73,91.52,3.69,4.79,8.48,Czechia,Low-HO,Towns and suburbs,All ISCED 2011 levels,"50-74",female
