Region,0,1-14,15-29,30-59,60+,No_response,sheet_name,education_level,urbanisation_degree,age_class,sex
Slovakia,527.0,2918.0,5104.0,2397.0,48.0,151.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Finland,486.0,3505.0,4291.0,327.0,581.0,184.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Sweden,605.0,6845.0,8455.0,6357.0,1891.0,228.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Iceland,,509.0,218.0,82.0,,91.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Norway,574.0,4608.0,3931.0,2827.0,878.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Switzerland,1105.0,6515.0,6344.0,5724.0,1992.0,195.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
United Kingdom,11664.0,41647.0,45035.0,3810.0,15311.0,2126.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Türkiye,1046.0,28744.0,24794.0,20962.0,5636.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
European_Union_27_countries_from_2020,36489.0,258525.0,287268.0,213293.0,59367.0,28182.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
European_Union_29_countries_from_2013-2020,47031.0,296637.0,329348.0,249761.0,74049.0,30156.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Euro_area_19_countries_2015-2022,2827.0,209893.0,214396.0,154172.0,47411.0,2037.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Belgium,1547.0,549.0,730.0,5941.0,1899.0,36.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Bulgaria,20.0,2697.0,6051.0,4901.0,61.0,107.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Czechia,1092.0,5471.0,8187.0,6564.0,1318.0,139.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Denmark,57.0,3099.0,4359.0,3443.0,755.0,261.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Germany,7159.0,53969.0,59236.0,44045.0,12252.0,9713.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Estonia,114.0,901.0,1084.0,715.0,148.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Ireland,465.0,2352.0,2861.0,2334.0,861.0,1166.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Greece,137.0,6016.0,5434.0,3252.0,558.0,974.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Spain,2249.0,2899.0,27156.0,1974.0,8319.0,2335.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
France,902.0,34205.0,41863.0,32181.0,9118.0,2006.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Croatia,439.0,1917.0,2521.0,1887.0,474.0,122.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Italy,1492.0,40743.0,28211.0,17075.0,6672.0,1992.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Cyprus,176.0,658.0,773.0,287.0,,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Latvia,125.0,78.0,1323.0,1633.0,49.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Lithuania,204.0,1548.0,2878.0,1764.0,224.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Luxembourg,61.0,161.0,31.0,346.0,85.0,34.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Hungary,747.0,4842.0,593.0,6188.0,182.0,429.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Malta,45.0,247.0,31.0,294.0,81.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Netherlands,2687.0,10498.0,1252.0,9062.0,2783.0,423.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Austria,89.0,6688.0,5965.0,489.0,1139.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Poland,3633.0,17985.0,26116.0,1910.0,3638.0,1843.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Portugal,62.0,9243.0,6601.0,4065.0,1477.0,1048.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Romania,989.0,6197.0,11763.0,10912.0,1526.0,4692.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Slovenia,359.0,1299.0,1478.0,1057.0,24.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Slovakia,51.0,2869.0,5019.0,2369.0,476.0,151.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Finland,411.0,3237.0,4075.0,3123.0,555.0,169.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Sweden,548.0,6424.0,7945.0,6126.0,1814.0,218.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Iceland,,451.0,197.0,76.0,,86.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Norway,495.0,4183.0,3656.0,2706.0,843.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Switzerland,1006.0,5966.0,6023.0,5354.0,1825.0,177.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
United Kingdom,10542.0,38113.0,4208.0,36468.0,14682.0,1974.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Türkiye,9783.0,26329.0,23373.0,19721.0,536.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
European_Union_27_countries_from_2020,15164.0,104686.0,114656.0,84757.0,23086.0,10416.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
European_Union_29_countries_from_2013-2020,19359.0,117832.0,129674.0,97642.0,28414.0,11207.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Euro_area_19_countries_2015-2022,11546.0,83737.0,83112.0,59608.0,18024.0,7094.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Belgium,626.0,2154.0,2805.0,2431.0,755.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Bulgaria,99.0,1157.0,262.0,2035.0,245.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Czechia,546.0,2621.0,3737.0,2976.0,556.0,67.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Denmark,229.0,1151.0,1559.0,1217.0,216.0,99.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Germany,2699.0,19253.0,20038.0,14565.0,3922.0,3069.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Estonia,52.0,344.0,408.0,256.0,46.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Ireland,203.0,934.0,1211.0,995.0,417.0,49.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Greece,7.0,2681.0,2474.0,1496.0,243.0,436.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Spain,1048.0,12976.0,12332.0,8694.0,3395.0,835.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
France,3658.0,13379.0,16611.0,13142.0,355.0,659.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Croatia,188.0,783.0,1176.0,80.0,136.0,6.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Italy,694.0,17385.0,11711.0,6942.0,2909.0,834.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Cyprus,68.0,259.0,276.0,121.0,,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Latvia,48.0,29.0,466.0,593.0,205.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Lithuania,68.0,548.0,105.0,575.0,71.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Luxembourg,,64.0,121.0,163.0,36.0,144.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Hungary,406.0,2112.0,2773.0,2765.0,765.0,208.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Malta,,99.0,106.0,92.0,,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Netherlands,1013.0,3576.0,4255.0,3229.0,905.0,15.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Austria,428.0,2572.0,2243.0,1922.0,416.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Poland,155.0,8276.0,11181.0,7851.0,1847.0,817.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Portugal,291.0,4165.0,2762.0,1804.0,61.0,352.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Romania,428.0,2574.0,5698.0,5171.0,747.0,1919.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Slovenia,135.0,597.0,629.0,475.0,108.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Slovakia,23.0,1292.0,216.0,100.0,216.0,79.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Finland,165.0,1169.0,1452.0,1114.0,187.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Sweden,,2274.0,2801.0,2333.0,549.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Iceland,,148.0,76.0,,,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Norway,17.0,1581.0,1337.0,866.0,284.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Switzerland,407.0,2263.0,2205.0,1929.0,652.0,76.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
United Kingdom,4195.0,13146.0,15018.0,12886.0,5327.0,791.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Türkiye,4564.0,11423.0,9997.0,7755.0,2197.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
European_Union_27_countries_from_2020,17479.0,97824.0,9415.0,65194.0,18512.0,9878.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
European_Union_29_countries_from_2013-2020,22983.0,112339.0,108421.0,75414.0,22557.0,10513.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Euro_area_19_countries_2015-2022,13985.0,80835.0,72473.0,48593.0,15303.0,7363.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Belgium,675.0,1792.0,202.0,1576.0,53.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Bulgaria,88.0,1108.0,2111.0,1678.0,228.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Czechia,458.0,1954.0,2715.0,1967.0,396.0,61.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Denmark,30.0,108.0,1495.0,1168.0,23.0,97.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Germany,3807.0,24027.0,23303.0,15738.0,4495.0,3844.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Estonia,61.0,378.0,444.0,306.0,76.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Ireland,238.0,724.0,746.0,575.0,166.0,256.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Greece,54.0,2128.0,1637.0,866.0,136.0,307.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Spain,1055.0,9795.0,8144.0,5862.0,2728.0,825.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
France,4421.0,12253.0,12293.0,8883.0,256.0,812.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Croatia,239.0,651.0,624.0,539.0,161.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Italy,737.0,16235.0,10524.0,6103.0,2198.0,545.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Cyprus,,20.0,193.0,66.0,,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Latvia,56.0,326.0,546.0,625.0,237.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Lithuania,104.0,692.0,1097.0,727.0,97.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Luxembourg,,,69.0,67.0,,88.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Hungary,32.0,1733.0,173.0,1673.0,54.0,115.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Malta,,56.0,79.0,47.0,,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Netherlands,1352.0,3843.0,4119.0,2704.0,768.0,144.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Austria,414.0,2321.0,1646.0,1245.0,329.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Poland,1246.0,5363.0,7207.0,4757.0,841.0,495.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Portugal,335.0,333.0,2114.0,1135.0,535.0,414.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Romania,503.0,2715.0,3124.0,270.0,292.0,1572.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Slovenia,181.0,402.0,442.0,258.0,6.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Slovakia,213.0,1054.0,1584.0,679.0,10.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Finland,23.0,1244.0,1473.0,1131.0,244.0,66.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Sweden,34.0,2384.0,2671.0,2119.0,521.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Iceland,,162.0,6.0,,,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Norway,236.0,1448.0,1234.0,842.0,27.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Switzerland,586.0,241.0,1946.0,1358.0,544.0,98.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
United Kingdom,5504.0,14515.0,14272.0,1022.0,4046.0,635.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Türkiye,3283.0,6989.0,324.0,2162.0,579.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
European_Union_27_countries_from_2020,638.0,11022.0,8631.0,5947.0,1649.0,1268.0,Sheet 6,ISCED 0–2,Total,15-34,Female
European_Union_29_countries_from_2013-2020,776.0,12853.0,10399.0,7204.0,1905.0,1365.0,Sheet 6,ISCED 0–2,Total,15-34,Female
Euro_area_19_countries_2015-2022,,9215.0,6942.0,492.0,144.0,916.0,Sheet 6,ISCED 0–2,Total,15-34,Female
Belgium,39.0,18.0,263.0,133.0,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Bulgaria,,56.0,147.0,86.0,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Czechia,,76.0,135.0,145.0,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Denmark,,451.0,334.0,171.0,64.0,,Sheet 6,ISCED 0–2,Total,15-34,Female
Germany,,2413.0,1851.0,2027.0,524.0,,Sheet 6,ISCED 0–2,Total,15-34,Female
Estonia,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Ireland,,82.0,52.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Greece,,99.0,56.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Spain,,1576.0,1282.0,862.0,326.0,178.0,Sheet 6,ISCED 0–2,Total,15-34,Female
France,,711.0,972.0,624.0,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Croatia,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Italy,,1357.0,737.0,424.0,171.0,73.0,Sheet 6,ISCED 0–2,Total,15-34,Female
Cyprus,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Latvia,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Lithuania,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Luxembourg,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Hungary,,123.0,103.0,138.0,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Malta,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Netherlands,93.0,1744.0,878.0,309.0,116.0,,Sheet 6,ISCED 0–2,Total,15-34,Female
Austria,,273.0,215.0,172.0,66.0,,Sheet 6,ISCED 0–2,Total,15-34,Female
Poland,,113.0,214.0,89.0,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Portugal,,458.0,28.0,128.0,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Romania,104.0,613.0,429.0,261.0,,314.0,Sheet 6,ISCED 0–2,Total,15-34,Female
Slovenia,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Slovakia,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Finland,,183.0,187.0,81.0,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Sweden,,369.0,298.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Iceland,,64.0,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Norway,,37.0,265.0,154.0,5.0,,Sheet 6,ISCED 0–2,Total,15-34,Female
Switzerland,,334.0,272.0,347.0,128.0,,Sheet 6,ISCED 0–2,Total,15-34,Female
United Kingdom,137.0,1831.0,1767.0,1257.0,256.0,,Sheet 6,ISCED 0–2,Total,15-34,Female
Türkiye,2014.0,4424.0,3314.0,2749.0,567.0,,Sheet 6,ISCED 0–2,Total,15-34,Female
European_Union_27_countries_from_2020,5664.0,5283.0,3723.0,21909.0,7033.0,5622.0,Sheet 7,ISCED 0–2,Total,15-74,Female
European_Union_29_countries_from_2013-2020,6973.0,61424.0,4531.0,26342.0,8314.0,5979.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Euro_area_19_countries_2015-2022,4387.0,46417.0,31701.0,18007.0,6134.0,4211.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Belgium,207.0,871.0,91.0,542.0,117.0,,Sheet 7,ISCED 0–2,Total,15-74,Female
Bulgaria,65.0,342.0,619.0,447.0,78.0,,Sheet 7,ISCED 0–2,Total,15-74,Female
Czechia,64.0,295.0,412.0,356.0,79.0,,Sheet 7,ISCED 0–2,Total,15-74,Female
Denmark,126.0,75.0,665.0,394.0,107.0,71.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Germany,569.0,7873.0,5876.0,3965.0,1245.0,1658.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Estonia,,91.0,76.0,,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Ireland,53.0,327.0,223.0,129.0,,99.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Greece,,1398.0,838.0,268.0,,208.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Spain,563.0,9435.0,6466.0,406.0,170.0,796.0,Sheet 7,ISCED 0–2,Total,15-74,Female
France,1513.0,5422.0,4921.0,3021.0,767.0,,Sheet 7,ISCED 0–2,Total,15-74,Female
Croatia,15.0,19.0,136.0,14.0,61.0,,Sheet 7,ISCED 0–2,Total,15-74,Female
Italy,362.0,11577.0,6102.0,2781.0,1138.0,473.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Cyprus,55.0,98.0,67.0,,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Latvia,,47.0,86.0,85.0,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Lithuania,,67.0,5.0,4.0,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Luxembourg,,38.0,48.0,47.0,,62.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Hungary,56.0,695.0,689.0,70.0,195.0,36.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Malta,,91.0,97.0,68.0,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Netherlands,438.0,3429.0,2284.0,937.0,286.0,74.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Austria,111.0,1087.0,753.0,589.0,115.0,,Sheet 7,ISCED 0–2,Total,15-74,Female
Poland,228.0,769.0,857.0,557.0,154.0,73.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Portugal,354.0,3931.0,2282.0,1152.0,544.0,445.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Romania,513.0,2529.0,1533.0,925.0,184.0,1176.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Slovenia,6.0,124.0,93.0,46.0,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Slovakia,,188.0,207.0,67.0,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Finland,,321.0,322.0,161.0,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Sweden,,843.0,618.0,382.0,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Iceland,,128.0,41.0,,,,Sheet 7,ISCED 0–2,Total,15-74,Female
