Region,0,1+,30+,60+,No_response,sheet_name,education_level,urbanisation_degree,age_class,sex
Sweden,,7897.0,2726.0,822.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Iceland,,325.0,44.0,,38.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Norway,168.0,4383.0,1443.0,324.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Switzerland,113.0,727.0,3235.0,797.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
United Kingdom,1965.0,50663.0,20933.0,5938.0,70.0,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
Türkiye,2612.0,35795.0,13905.0,286.0,,Sheet 1,All ISCED 2011 levels,Total,15-34,Female
European_Union_27_countries_from_2020,39269.0,846543.0,280113.0,60876.0,29468.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
European_Union_29_countries_from_2013-2020,50933.0,986635.0,333524.0,76187.0,31594.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Euro_area_19_countries_2015-2022,30392.0,647676.0,207364.0,48602.0,21199.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Belgium,1607.0,20946.0,7916.0,1909.0,36.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Bulgaria,214.0,1466.0,5643.0,623.0,114.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Czechia,1156.0,2216.0,811.0,1346.0,15.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Denmark,632.0,12516.0,4378.0,791.0,288.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Germany,7849.0,177127.0,58554.0,12631.0,10126.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Estonia,141.0,3082.0,94.0,164.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Ireland,512.0,8812.0,3284.0,88.0,1226.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Greece,141.0,15525.0,3837.0,563.0,1028.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Spain,2361.0,85503.0,28528.0,8447.0,2416.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
France,9404.0,120292.0,42185.0,9259.0,2034.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Croatia,511.0,6921.0,2392.0,485.0,128.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Italy,1647.0,94887.0,24276.0,6773.0,2047.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Cyprus,179.0,1792.0,326.0,,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Latvia,13.0,4469.0,2252.0,553.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Lithuania,229.0,6673.0,2063.0,234.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Luxembourg,64.0,909.0,433.0,86.0,351.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Hungary,814.0,19132.0,8154.0,1857.0,441.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Malta,46.0,971.0,39.0,87.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Netherlands,2988.0,38442.0,12361.0,2945.0,467.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Austria,955.0,19408.0,6274.0,1215.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Poland,3788.0,68254.0,23217.0,374.0,1879.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Portugal,736.0,22158.0,5698.0,152.0,1116.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Romania,1157.0,31676.0,12607.0,1541.0,5041.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Slovenia,391.0,4135.0,1319.0,241.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Slovakia,527.0,10898.0,2877.0,48.0,151.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Finland,486.0,11647.0,3852.0,581.0,184.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Sweden,605.0,23548.0,8248.0,1891.0,228.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Iceland,,822.0,96.0,,91.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Norway,574.0,12244.0,3705.0,878.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Switzerland,1105.0,20576.0,7716.0,1992.0,195.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
United Kingdom,11664.0,140093.0,53411.0,15311.0,2126.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Türkiye,1046.0,80135.0,26597.0,5636.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
European_Union_27_countries_from_2020,36489.0,818452.0,272659.0,59367.0,28182.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
European_Union_29_countries_from_2013-2020,47031.0,949795.0,32381.0,74049.0,30156.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Euro_area_19_countries_2015-2022,2827.0,625872.0,201583.0,47411.0,2037.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Belgium,1547.0,2063.0,784.0,1899.0,36.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Bulgaria,20.0,1426.0,5511.0,61.0,107.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Czechia,1092.0,21539.0,7882.0,1318.0,139.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Denmark,57.0,11656.0,4198.0,755.0,261.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Germany,7159.0,169503.0,56298.0,12252.0,9713.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Estonia,114.0,2848.0,863.0,148.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Ireland,465.0,8408.0,3195.0,861.0,1166.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Greece,137.0,15259.0,3809.0,558.0,974.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Spain,2249.0,84204.0,28058.0,8319.0,2335.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
France,902.0,117366.0,41299.0,9118.0,2006.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Croatia,439.0,6799.0,2361.0,474.0,122.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Italy,1492.0,9270.0,23746.0,6672.0,1992.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Cyprus,176.0,1752.0,322.0,,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Latvia,125.0,4225.0,2123.0,49.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Lithuania,204.0,6414.0,1988.0,224.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Luxembourg,61.0,901.0,431.0,85.0,34.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Hungary,747.0,18781.0,8009.0,182.0,429.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Malta,45.0,933.0,376.0,81.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Netherlands,2687.0,34863.0,11845.0,2783.0,423.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Austria,89.0,18682.0,6029.0,1139.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Poland,3633.0,66838.0,22737.0,3638.0,1843.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Portugal,62.0,21386.0,5543.0,1477.0,1048.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Romania,989.0,30397.0,12438.0,1526.0,4692.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Slovenia,359.0,4073.0,1296.0,24.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Slovakia,51.0,10732.0,2845.0,476.0,151.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Finland,411.0,1099.0,3678.0,555.0,169.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Sweden,548.0,22309.0,7941.0,1814.0,218.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Iceland,,737.0,88.0,,86.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Norway,495.0,11389.0,3549.0,843.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Switzerland,1006.0,19167.0,7179.0,1825.0,177.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
United Kingdom,10542.0,131344.0,51151.0,14682.0,1974.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Türkiye,9783.0,74783.0,25081.0,536.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
European_Union_27_countries_from_2020,15164.0,327185.0,107843.0,23086.0,10416.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
European_Union_29_countries_from_2013-2020,19359.0,373562.0,126056.0,28414.0,11207.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Euro_area_19_countries_2015-2022,11546.0,244481.0,77633.0,18024.0,7094.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Belgium,626.0,8145.0,3186.0,755.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Bulgaria,99.0,6057.0,228.0,245.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Czechia,546.0,989.0,3532.0,556.0,67.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Denmark,229.0,4144.0,1434.0,216.0,99.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Germany,2699.0,57778.0,18486.0,3922.0,3069.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Estonia,52.0,1055.0,302.0,46.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Ireland,203.0,3557.0,1412.0,417.0,49.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Greece,7.0,6895.0,1739.0,243.0,436.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Spain,1048.0,37396.0,12089.0,3395.0,835.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
France,3658.0,46682.0,16692.0,355.0,659.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Croatia,188.0,2895.0,937.0,136.0,6.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Italy,694.0,38947.0,9851.0,2909.0,834.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Cyprus,68.0,668.0,132.0,,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Latvia,48.0,1554.0,798.0,205.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Lithuania,68.0,2243.0,645.0,71.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Luxembourg,,383.0,198.0,36.0,144.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Hungary,406.0,8416.0,3531.0,765.0,208.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Malta,,32.0,115.0,,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Netherlands,1013.0,11966.0,4134.0,905.0,15.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Austria,428.0,7153.0,2338.0,416.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Poland,155.0,29155.0,9698.0,1847.0,817.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Portugal,291.0,9342.0,2415.0,61.0,352.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Romania,428.0,1419.0,5917.0,747.0,1919.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Slovenia,135.0,1808.0,582.0,108.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Slovakia,23.0,4668.0,1216.0,216.0,79.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Finland,165.0,3922.0,1301.0,187.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Sweden,,7957.0,2882.0,549.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Iceland,,25.0,,,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Norway,17.0,4068.0,115.0,284.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Switzerland,407.0,7048.0,258.0,652.0,76.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
United Kingdom,4195.0,46377.0,18213.0,5327.0,791.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Türkiye,4564.0,3137.0,9951.0,2197.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
European_Union_27_countries_from_2020,17479.0,275679.0,83706.0,18512.0,9878.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
European_Union_29_countries_from_2013-2020,22983.0,318732.0,97972.0,22557.0,10513.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Euro_area_19_countries_2015-2022,13985.0,217203.0,63896.0,15303.0,7363.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Belgium,675.0,5918.0,2106.0,53.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Bulgaria,88.0,5125.0,1906.0,228.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Czechia,458.0,7032.0,2363.0,396.0,61.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Denmark,30.0,3973.0,1398.0,23.0,97.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Germany,3807.0,67562.0,20232.0,4495.0,3844.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Estonia,61.0,1204.0,382.0,76.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Ireland,238.0,2211.0,741.0,166.0,256.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Greece,54.0,4766.0,1002.0,136.0,307.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Spain,1055.0,26528.0,859.0,2728.0,825.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
France,4421.0,35989.0,11443.0,256.0,812.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Croatia,239.0,1975.0,70.0,161.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Italy,737.0,3506.0,8301.0,2198.0,545.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Cyprus,,469.0,76.0,,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Latvia,56.0,1735.0,862.0,237.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Lithuania,104.0,2613.0,824.0,97.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Luxembourg,,188.0,85.0,,88.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Hungary,32.0,5676.0,2213.0,54.0,115.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Malta,,199.0,64.0,,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Netherlands,1352.0,11434.0,3472.0,768.0,144.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Austria,414.0,5541.0,1574.0,329.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Poland,1246.0,18168.0,5598.0,841.0,495.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Portugal,335.0,7115.0,1671.0,535.0,414.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Romania,503.0,8831.0,2992.0,292.0,1572.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Slovenia,181.0,1162.0,318.0,6.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Slovakia,213.0,3416.0,779.0,10.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Finland,23.0,4092.0,1375.0,244.0,66.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Sweden,34.0,7695.0,264.0,521.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Iceland,,248.0,,,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Norway,236.0,3794.0,1112.0,27.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Switzerland,586.0,6257.0,1901.0,544.0,98.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
United Kingdom,5504.0,43053.0,14266.0,4046.0,635.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Türkiye,3283.0,1297.0,2741.0,579.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
European_Union_27_countries_from_2020,638.0,27249.0,7596.0,1649.0,1268.0,Sheet 6,ISCED 0–2,Total,15-34,Female
European_Union_29_countries_from_2013-2020,776.0,32361.0,9109.0,1905.0,1365.0,Sheet 6,ISCED 0–2,Total,15-34,Female
Euro_area_19_countries_2015-2022,,22516.0,636.0,144.0,916.0,Sheet 6,ISCED 0–2,Total,15-34,Female
Belgium,39.0,601.0,159.0,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Bulgaria,,307.0,104.0,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Czechia,,373.0,162.0,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Denmark,,102.0,235.0,64.0,,Sheet 6,ISCED 0–2,Total,15-34,Female
Germany,,6815.0,2551.0,524.0,,Sheet 6,ISCED 0–2,Total,15-34,Female
Estonia,,8.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Ireland,,175.0,42.0,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Greece,,17.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Spain,,4047.0,1189.0,326.0,178.0,Sheet 6,ISCED 0–2,Total,15-34,Female
France,,2405.0,722.0,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Croatia,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Italy,,2688.0,594.0,171.0,73.0,Sheet 6,ISCED 0–2,Total,15-34,Female
Cyprus,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Latvia,,74.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Lithuania,,53.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Luxembourg,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Hungary,,393.0,167.0,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Malta,,65.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Netherlands,93.0,3046.0,424.0,116.0,,Sheet 6,ISCED 0–2,Total,15-34,Female
Austria,,726.0,238.0,66.0,,Sheet 6,ISCED 0–2,Total,15-34,Female
Poland,,459.0,132.0,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Portugal,,926.0,188.0,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Romania,104.0,1329.0,286.0,,314.0,Sheet 6,ISCED 0–2,Total,15-34,Female
Slovenia,,44.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Slovakia,,8.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Finland,,464.0,94.0,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Sweden,,813.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Iceland,,94.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Norway,,84.0,204.0,5.0,,Sheet 6,ISCED 0–2,Total,15-34,Female
Switzerland,,1081.0,474.0,128.0,,Sheet 6,ISCED 0–2,Total,15-34,Female
United Kingdom,137.0,5112.0,1513.0,256.0,,Sheet 6,ISCED 0–2,Total,15-34,Female
Türkiye,2014.0,11054.0,3317.0,567.0,,Sheet 6,ISCED 0–2,Total,15-34,Female
European_Union_27_countries_from_2020,5664.0,119001.0,28942.0,7033.0,5622.0,Sheet 7,ISCED 0–2,Total,15-74,Female
European_Union_29_countries_from_2013-2020,6973.0,141389.0,34655.0,8314.0,5979.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Euro_area_19_countries_2015-2022,4387.0,102258.0,2414.0,6134.0,4211.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Belgium,207.0,2441.0,659.0,117.0,,Sheet 7,ISCED 0–2,Total,15-74,Female
Bulgaria,65.0,1486.0,525.0,78.0,,Sheet 7,ISCED 0–2,Total,15-74,Female
Czechia,64.0,1142.0,435.0,79.0,,Sheet 7,ISCED 0–2,Total,15-74,Female
Denmark,126.0,1916.0,502.0,107.0,71.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Germany,569.0,1896.0,5211.0,1245.0,1658.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Estonia,,216.0,49.0,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Ireland,53.0,708.0,158.0,,99.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Greece,,2539.0,303.0,,208.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Spain,563.0,2166.0,576.0,170.0,796.0,Sheet 7,ISCED 0–2,Total,15-74,Female
France,1513.0,14132.0,3789.0,767.0,,Sheet 7,ISCED 0–2,Total,15-74,Female
Croatia,15.0,527.0,202.0,61.0,,Sheet 7,ISCED 0–2,Total,15-74,Female
Italy,362.0,21599.0,3919.0,1138.0,473.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Cyprus,55.0,182.0,,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Latvia,,235.0,102.0,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Lithuania,,167.0,49.0,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Luxembourg,,153.0,67.0,,62.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Hungary,56.0,2278.0,895.0,195.0,36.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Malta,,273.0,86.0,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Netherlands,438.0,6937.0,1223.0,286.0,74.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Austria,111.0,2544.0,704.0,115.0,,Sheet 7,ISCED 0–2,Total,15-74,Female
Poland,228.0,2336.0,711.0,154.0,73.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Portugal,354.0,791.0,1696.0,544.0,445.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Romania,513.0,5171.0,1109.0,184.0,1176.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Slovenia,6.0,278.0,61.0,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Slovakia,,488.0,93.0,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Finland,,838.0,196.0,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Sweden,,1885.0,423.0,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Iceland,,186.0,,,,Sheet 7,ISCED 0–2,Total,15-74,Female
Norway,96.0,1764.0,436.0,122.0,,Sheet 7,ISCED 0–2,Total,15-74,Female
Switzerland,62.0,255.0,827.0,231.0,,Sheet 7,ISCED 0–2,Total,15-74,Female
United Kingdom,1309.0,22388.0,5713.0,1281.0,358.0,Sheet 7,ISCED 0–2,Total,15-74,Female
Türkiye,9022.0,38687.0,9852.0,1851.0,,Sheet 7,ISCED 0–2,Total,15-74,Female
European_Union_27_countries_from_2020,4786.0,106613.0,26361.0,651.0,5021.0,Sheet 8,ISCED 0–2,Total,20-64,Female
European_Union_29_countries_from_2013-2020,5907.0,126991.0,3165.0,7729.0,5352.0,Sheet 8,ISCED 0–2,Total,20-64,Female
Euro_area_19_countries_2015-2022,3746.0,92555.0,22003.0,569.0,3898.0,Sheet 8,ISCED 0–2,Total,20-64,Female
Belgium,189.0,2291.0,627.0,11.0,,Sheet 8,ISCED 0–2,Total,20-64,Female
Bulgaria,61.0,1415.0,503.0,74.0,,Sheet 8,ISCED 0–2,Total,20-64,Female
Czechia,61.0,1037.0,392.0,64.0,,Sheet 8,ISCED 0–2,Total,20-64,Female
Denmark,11.0,129.0,40.0,92.0,52.0,Sheet 8,ISCED 0–2,Total,20-64,Female
Germany,,15766.0,4327.0,1092.0,1541.0,Sheet 8,ISCED 0–2,Total,20-64,Female
Estonia,,165.0,37.0,,,Sheet 8,ISCED 0–2,Total,20-64,Female
Ireland,41.0,546.0,127.0,,78.0,Sheet 8,ISCED 0–2,Total,20-64,Female
Greece,,2388.0,293.0,,186.0,Sheet 8,ISCED 0–2,Total,20-64,Female
Spain,528.0,21051.0,557.0,1655.0,758.0,Sheet 8,ISCED 0–2,Total,20-64,Female
France,1401.0,13292.0,359.0,746.0,,Sheet 8,ISCED 0–2,Total,20-64,Female
Croatia,12.0,493.0,202.0,61.0,,Sheet 8,ISCED 0–2,Total,20-64,Female
Italy,297.0,20696.0,3746.0,112.0,448.0,Sheet 8,ISCED 0–2,Total,20-64,Female
Cyprus,52.0,168.0,,,,Sheet 8,ISCED 0–2,Total,20-64,Female
