Region,0,1-9,1-14,1+,10-14,15-19,15-29,20-29,30-44,30-59,30+,45-59,60+,No_response,sheet_name,education_level,urbanisation_degree,age_class,sex
Croatia,439.0,959.0,1917.0,6799.0,957.0,1311.0,2521.0,121.0,1382.0,1887.0,2361.0,505.0,474.0,122.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Italy,1492.0,21063.0,40743.0,9270.0,1968.0,13913.0,28211.0,14298.0,13882.0,17075.0,23746.0,3193.0,6672.0,1992.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Cyprus,176.0,288.0,658.0,1752.0,369.0,364.0,773.0,409.0,226.0,287.0,322.0,61.0,,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Latvia,125.0,34.0,78.0,4225.0,439.0,482.0,1323.0,841.0,1231.0,1633.0,2123.0,402.0,49.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Lithuania,204.0,591.0,1548.0,6414.0,957.0,1167.0,2878.0,1712.0,1592.0,1764.0,1988.0,171.0,224.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Luxembourg,61.0,73.0,161.0,901.0,88.0,107.0,31.0,203.0,245.0,346.0,431.0,10.0,85.0,34.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Hungary,747.0,166.0,4842.0,18781.0,3182.0,2385.0,593.0,3545.0,4879.0,6188.0,8009.0,1309.0,182.0,429.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Malta,45.0,95.0,247.0,933.0,152.0,139.0,31.0,171.0,207.0,294.0,376.0,87.0,81.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Netherlands,2687.0,5225.0,10498.0,34863.0,5274.0,531.0,1252.0,7211.0,6434.0,9062.0,11845.0,2627.0,2783.0,423.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Austria,89.0,3812.0,6688.0,18682.0,2876.0,2531.0,5965.0,3434.0,3524.0,489.0,6029.0,1366.0,1139.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Poland,3633.0,7184.0,17985.0,66838.0,10801.0,11914.0,26116.0,14202.0,16745.0,1910.0,22737.0,2355.0,3638.0,1843.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Portugal,62.0,4876.0,9243.0,21386.0,4366.0,3334.0,6601.0,3266.0,312.0,4065.0,5543.0,945.0,1477.0,1048.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Romania,989.0,2877.0,6197.0,30397.0,332.0,4417.0,11763.0,7345.0,8647.0,10912.0,12438.0,2264.0,1526.0,4692.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Slovenia,359.0,579.0,1299.0,4073.0,72.0,709.0,1478.0,769.0,85.0,1057.0,1296.0,207.0,24.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Slovakia,51.0,95.0,2869.0,10732.0,1919.0,2052.0,5019.0,2966.0,2031.0,2369.0,2845.0,338.0,476.0,151.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Finland,411.0,1593.0,3237.0,1099.0,1644.0,1742.0,4075.0,2333.0,2292.0,3123.0,3678.0,831.0,555.0,169.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Sweden,548.0,336.0,6424.0,22309.0,3063.0,3189.0,7945.0,4756.0,4428.0,6126.0,7941.0,1698.0,1814.0,218.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Iceland,,308.0,451.0,737.0,143.0,107.0,197.0,91.0,64.0,76.0,88.0,,,86.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Norway,495.0,2201.0,4183.0,11389.0,1982.0,1586.0,3656.0,207.0,2072.0,2706.0,3549.0,634.0,843.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Switzerland,1006.0,3243.0,5966.0,19167.0,2723.0,2661.0,6023.0,3361.0,3876.0,5354.0,7179.0,1478.0,1825.0,177.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
United Kingdom,10542.0,18321.0,38113.0,131344.0,19791.0,16715.0,4208.0,25366.0,26824.0,36468.0,51151.0,9645.0,14682.0,1974.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Türkiye,9783.0,13995.0,26329.0,74783.0,12334.0,9483.0,23373.0,1389.0,1592.0,19721.0,25081.0,3802.0,536.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
European_Union_27_countries_from_2020,15164.0,49796.0,104686.0,327185.0,5489.0,50158.0,114656.0,64498.0,65974.0,84757.0,107843.0,18783.0,23086.0,10416.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
European_Union_29_countries_from_2013-2020,19359.0,56108.0,117832.0,373562.0,61724.0,56012.0,129674.0,73662.0,75514.0,97642.0,126056.0,22128.0,28414.0,11207.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Euro_area_19_countries_2015-2022,11546.0,41162.0,83737.0,244481.0,42575.0,36578.0,83112.0,46533.0,45785.0,59608.0,77633.0,13823.0,18024.0,7094.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Belgium,626.0,994.0,2154.0,8145.0,116.0,1122.0,2805.0,1684.0,1768.0,2431.0,3186.0,662.0,755.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Bulgaria,99.0,22.0,1157.0,6057.0,937.0,1119.0,262.0,1501.0,1676.0,2035.0,228.0,359.0,245.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Czechia,546.0,96.0,2621.0,989.0,1661.0,1636.0,3737.0,2101.0,2339.0,2976.0,3532.0,637.0,556.0,67.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Denmark,229.0,519.0,1151.0,4144.0,632.0,615.0,1559.0,944.0,862.0,1217.0,1434.0,355.0,216.0,99.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Germany,2699.0,8952.0,19253.0,57778.0,10301.0,8638.0,20038.0,11401.0,1137.0,14565.0,18486.0,3195.0,3922.0,3069.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Estonia,52.0,165.0,344.0,1055.0,179.0,191.0,408.0,218.0,20.0,256.0,302.0,56.0,46.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Ireland,203.0,46.0,934.0,3557.0,474.0,473.0,1211.0,738.0,737.0,995.0,1412.0,258.0,417.0,49.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Greece,7.0,1023.0,2681.0,6895.0,1659.0,1259.0,2474.0,1215.0,1161.0,1496.0,1739.0,335.0,243.0,436.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Spain,1048.0,6173.0,12976.0,37396.0,6803.0,5701.0,12332.0,6631.0,7056.0,8694.0,12089.0,1638.0,3395.0,835.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
France,3658.0,6744.0,13379.0,46682.0,6635.0,6949.0,16611.0,9662.0,9529.0,13142.0,16692.0,3613.0,355.0,659.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Croatia,188.0,383.0,783.0,2895.0,399.0,69.0,1176.0,485.0,578.0,80.0,937.0,222.0,136.0,6.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Italy,694.0,9283.0,17385.0,38947.0,8102.0,5683.0,11711.0,6027.0,5642.0,6942.0,9851.0,130.0,2909.0,834.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Cyprus,68.0,112.0,259.0,668.0,147.0,138.0,276.0,138.0,96.0,121.0,132.0,,,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Latvia,48.0,131.0,29.0,1554.0,16.0,165.0,466.0,301.0,461.0,593.0,798.0,132.0,205.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Lithuania,68.0,231.0,548.0,2243.0,316.0,441.0,105.0,609.0,523.0,575.0,645.0,51.0,71.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Luxembourg,,,64.0,383.0,,39.0,121.0,82.0,116.0,163.0,198.0,47.0,36.0,144.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Hungary,406.0,731.0,2112.0,8416.0,1381.0,1174.0,2773.0,1598.0,2161.0,2765.0,3531.0,604.0,765.0,208.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Malta,,35.0,99.0,32.0,64.0,45.0,106.0,61.0,61.0,92.0,115.0,,,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Netherlands,1013.0,1814.0,3576.0,11966.0,1762.0,1613.0,4255.0,2642.0,2293.0,3229.0,4134.0,936.0,905.0,15.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Austria,428.0,1489.0,2572.0,7153.0,1084.0,935.0,2243.0,1308.0,1316.0,1922.0,2338.0,606.0,416.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Poland,155.0,3481.0,8276.0,29155.0,4795.0,5059.0,11181.0,6122.0,6843.0,7851.0,9698.0,1008.0,1847.0,817.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Portugal,291.0,2221.0,4165.0,9342.0,1944.0,1374.0,2762.0,1388.0,136.0,1804.0,2415.0,445.0,61.0,352.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Romania,428.0,1119.0,2574.0,1419.0,1455.0,2121.0,5698.0,3577.0,4124.0,5171.0,5917.0,1047.0,747.0,1919.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Slovenia,135.0,269.0,597.0,1808.0,328.0,305.0,629.0,324.0,39.0,475.0,582.0,85.0,108.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Slovakia,23.0,452.0,1292.0,4668.0,84.0,897.0,216.0,1263.0,86.0,100.0,1216.0,14.0,216.0,79.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Finland,165.0,586.0,1169.0,3922.0,583.0,61.0,1452.0,842.0,846.0,1114.0,1301.0,268.0,187.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Sweden,,1219.0,2274.0,7957.0,1055.0,1164.0,2801.0,1636.0,1606.0,2333.0,2882.0,727.0,549.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Iceland,,11.0,148.0,25.0,38.0,,76.0,43.0,,,,,,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Norway,17.0,858.0,1581.0,4068.0,723.0,615.0,1337.0,723.0,664.0,866.0,115.0,202.0,284.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Switzerland,407.0,1219.0,2263.0,7048.0,1044.0,994.0,2205.0,1211.0,1388.0,1929.0,258.0,54.0,652.0,76.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
United Kingdom,4195.0,6312.0,13146.0,46377.0,6834.0,5855.0,15018.0,9164.0,954.0,12886.0,18213.0,3345.0,5327.0,791.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Türkiye,4564.0,5984.0,11423.0,3137.0,5439.0,4247.0,9997.0,5749.0,6288.0,7755.0,9951.0,1467.0,2197.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
European_Union_27_countries_from_2020,17479.0,47744.0,97824.0,275679.0,5008.0,42312.0,9415.0,51838.0,5042.0,65194.0,83706.0,14774.0,18512.0,9878.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
