Region,0,1-9,10-14,15-19,20-29,30-44,45-59,60+,No_response,sheet_name,education_level,urbanisation_degree,age_class,sex
Netherlands,2988.0,6457.0,6118.0,5747.0,7758.0,6703.0,2714.0,2945.0,467.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Austria,955.0,3971.0,2993.0,2632.0,3538.0,3638.0,1422.0,1215.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Poland,3788.0,7405.0,11038.0,12056.0,14539.0,17061.0,2416.0,374.0,1879.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Portugal,736.0,5176.0,4487.0,3456.0,3341.0,3211.0,967.0,152.0,1116.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Romania,1157.0,3372.0,3633.0,4586.0,7478.0,879.0,2276.0,1541.0,5041.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Slovenia,391.0,594.0,73.0,718.0,774.0,871.0,207.0,241.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Slovakia,527.0,967.0,1951.0,2092.0,3011.0,2053.0,344.0,48.0,151.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Finland,486.0,1754.0,175.0,1864.0,2426.0,2402.0,868.0,581.0,184.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Sweden,605.0,3561.0,3284.0,3413.0,5042.0,4608.0,1749.0,1891.0,228.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Iceland,,344.0,165.0,115.0,102.0,69.0,,,91.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Norway,574.0,2432.0,2177.0,1714.0,2217.0,2161.0,666.0,878.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Switzerland,1105.0,3572.0,2943.0,2818.0,3526.0,413.0,1594.0,1992.0,195.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
United Kingdom,11664.0,19913.0,21734.0,18096.0,26939.0,2808.0,1002.0,15311.0,2126.0,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
Türkiye,1046.0,15282.0,13461.0,10027.0,14768.0,1698.0,3981.0,5636.0,,Sheet 2,All ISCED 2011 levels,Total,15-74,Female
European_Union_27_countries_from_2020,36489.0,122224.0,136301.0,12545.0,161817.0,166086.0,47207.0,59367.0,28182.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
European_Union_29_countries_from_2013-2020,47031.0,140545.0,156092.0,142165.0,187183.0,19291.0,56852.0,74049.0,30156.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Euro_area_19_countries_2015-2022,2827.0,102191.0,107702.0,94295.0,12010.0,118386.0,35786.0,47411.0,2037.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Belgium,1547.0,2443.0,3047.0,3008.0,4292.0,4339.0,1602.0,1899.0,36.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Bulgaria,20.0,554.0,2143.0,2568.0,3483.0,4026.0,876.0,61.0,107.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Czechia,1092.0,1975.0,3496.0,3562.0,4625.0,5072.0,1491.0,1318.0,139.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Denmark,57.0,1463.0,1636.0,1809.0,255.0,252.0,923.0,755.0,261.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Germany,7159.0,25761.0,28208.0,25495.0,33741.0,34088.0,9958.0,12252.0,9713.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Estonia,114.0,389.0,512.0,51.0,574.0,577.0,138.0,148.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Ireland,465.0,1123.0,1229.0,1112.0,1749.0,1768.0,567.0,861.0,1166.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Greece,137.0,2188.0,3827.0,2844.0,259.0,2497.0,755.0,558.0,974.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Spain,2249.0,13648.0,15342.0,12448.0,14708.0,15839.0,3901.0,8319.0,2335.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
France,902.0,17151.0,17053.0,17028.0,24835.0,23646.0,8535.0,9118.0,2006.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Croatia,439.0,959.0,957.0,1311.0,121.0,1382.0,505.0,474.0,122.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Italy,1492.0,21063.0,1968.0,13913.0,14298.0,13882.0,3193.0,6672.0,1992.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Cyprus,176.0,288.0,369.0,364.0,409.0,226.0,61.0,,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Latvia,125.0,34.0,439.0,482.0,841.0,1231.0,402.0,49.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Lithuania,204.0,591.0,957.0,1167.0,1712.0,1592.0,171.0,224.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Luxembourg,61.0,73.0,88.0,107.0,203.0,245.0,10.0,85.0,34.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Hungary,747.0,166.0,3182.0,2385.0,3545.0,4879.0,1309.0,182.0,429.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Malta,45.0,95.0,152.0,139.0,171.0,207.0,87.0,81.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Netherlands,2687.0,5225.0,5274.0,531.0,7211.0,6434.0,2627.0,2783.0,423.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Austria,89.0,3812.0,2876.0,2531.0,3434.0,3524.0,1366.0,1139.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Poland,3633.0,7184.0,10801.0,11914.0,14202.0,16745.0,2355.0,3638.0,1843.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Portugal,62.0,4876.0,4366.0,3334.0,3266.0,312.0,945.0,1477.0,1048.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Romania,989.0,2877.0,332.0,4417.0,7345.0,8647.0,2264.0,1526.0,4692.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Slovenia,359.0,579.0,72.0,709.0,769.0,85.0,207.0,24.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Slovakia,51.0,95.0,1919.0,2052.0,2966.0,2031.0,338.0,476.0,151.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Finland,411.0,1593.0,1644.0,1742.0,2333.0,2292.0,831.0,555.0,169.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Sweden,548.0,336.0,3063.0,3189.0,4756.0,4428.0,1698.0,1814.0,218.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Iceland,,308.0,143.0,107.0,91.0,64.0,,,86.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Norway,495.0,2201.0,1982.0,1586.0,207.0,2072.0,634.0,843.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Switzerland,1006.0,3243.0,2723.0,2661.0,3361.0,3876.0,1478.0,1825.0,177.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
United Kingdom,10542.0,18321.0,19791.0,16715.0,25366.0,26824.0,9645.0,14682.0,1974.0,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
Türkiye,9783.0,13995.0,12334.0,9483.0,1389.0,1592.0,3802.0,536.0,,Sheet 3,All ISCED 2011 levels,Total,20-64,Female
European_Union_27_countries_from_2020,15164.0,49796.0,5489.0,50158.0,64498.0,65974.0,18783.0,23086.0,10416.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
European_Union_29_countries_from_2013-2020,19359.0,56108.0,61724.0,56012.0,73662.0,75514.0,22128.0,28414.0,11207.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Euro_area_19_countries_2015-2022,11546.0,41162.0,42575.0,36578.0,46533.0,45785.0,13823.0,18024.0,7094.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Belgium,626.0,994.0,116.0,1122.0,1684.0,1768.0,662.0,755.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Bulgaria,99.0,22.0,937.0,1119.0,1501.0,1676.0,359.0,245.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Czechia,546.0,96.0,1661.0,1636.0,2101.0,2339.0,637.0,556.0,67.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Denmark,229.0,519.0,632.0,615.0,944.0,862.0,355.0,216.0,99.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Germany,2699.0,8952.0,10301.0,8638.0,11401.0,1137.0,3195.0,3922.0,3069.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Estonia,52.0,165.0,179.0,191.0,218.0,20.0,56.0,46.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Ireland,203.0,46.0,474.0,473.0,738.0,737.0,258.0,417.0,49.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Greece,7.0,1023.0,1659.0,1259.0,1215.0,1161.0,335.0,243.0,436.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Spain,1048.0,6173.0,6803.0,5701.0,6631.0,7056.0,1638.0,3395.0,835.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
France,3658.0,6744.0,6635.0,6949.0,9662.0,9529.0,3613.0,355.0,659.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Croatia,188.0,383.0,399.0,69.0,485.0,578.0,222.0,136.0,6.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Italy,694.0,9283.0,8102.0,5683.0,6027.0,5642.0,130.0,2909.0,834.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Cyprus,68.0,112.0,147.0,138.0,138.0,96.0,,,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Latvia,48.0,131.0,16.0,165.0,301.0,461.0,132.0,205.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Lithuania,68.0,231.0,316.0,441.0,609.0,523.0,51.0,71.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Luxembourg,,,,39.0,82.0,116.0,47.0,36.0,144.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Hungary,406.0,731.0,1381.0,1174.0,1598.0,2161.0,604.0,765.0,208.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Malta,,35.0,64.0,45.0,61.0,61.0,,,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Netherlands,1013.0,1814.0,1762.0,1613.0,2642.0,2293.0,936.0,905.0,15.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Austria,428.0,1489.0,1084.0,935.0,1308.0,1316.0,606.0,416.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Poland,155.0,3481.0,4795.0,5059.0,6122.0,6843.0,1008.0,1847.0,817.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Portugal,291.0,2221.0,1944.0,1374.0,1388.0,136.0,445.0,61.0,352.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Romania,428.0,1119.0,1455.0,2121.0,3577.0,4124.0,1047.0,747.0,1919.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Slovenia,135.0,269.0,328.0,305.0,324.0,39.0,85.0,108.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Slovakia,23.0,452.0,84.0,897.0,1263.0,86.0,14.0,216.0,79.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Finland,165.0,586.0,583.0,61.0,842.0,846.0,268.0,187.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Sweden,,1219.0,1055.0,1164.0,1636.0,1606.0,727.0,549.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Iceland,,11.0,38.0,,43.0,,,,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Norway,17.0,858.0,723.0,615.0,723.0,664.0,202.0,284.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Switzerland,407.0,1219.0,1044.0,994.0,1211.0,1388.0,54.0,652.0,76.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
United Kingdom,4195.0,6312.0,6834.0,5855.0,9164.0,954.0,3345.0,5327.0,791.0,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
Türkiye,4564.0,5984.0,5439.0,4247.0,5749.0,6288.0,1467.0,2197.0,,Sheet 4,All ISCED 2011 levels,Total,35-49,Female
European_Union_27_countries_from_2020,17479.0,47744.0,5008.0,42312.0,51838.0,5042.0,14774.0,18512.0,9878.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
European_Union_29_countries_from_2013-2020,22983.0,55046.0,57293.0,48208.0,60213.0,58082.0,17332.0,22557.0,10513.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Euro_area_19_countries_2015-2022,13985.0,40299.0,40536.0,3320.0,39272.0,37093.0,11499.0,15303.0,7363.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Belgium,675.0,795.0,997.0,805.0,1215.0,1174.0,402.0,53.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Bulgaria,88.0,274.0,835.0,939.0,1171.0,1394.0,284.0,228.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Czechia,458.0,723.0,1231.0,1174.0,1541.0,1535.0,432.0,396.0,61.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Denmark,30.0,52.0,56.0,571.0,924.0,852.0,315.0,23.0,97.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Germany,3807.0,11628.0,1240.0,1074.0,12563.0,12011.0,3727.0,4495.0,3844.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Estonia,61.0,165.0,213.0,204.0,241.0,25.0,56.0,76.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Ireland,238.0,368.0,356.0,296.0,45.0,442.0,132.0,166.0,256.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Greece,54.0,804.0,1324.0,871.0,766.0,637.0,229.0,136.0,307.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Spain,1055.0,4677.0,5118.0,3829.0,4315.0,4638.0,1223.0,2728.0,825.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
France,4421.0,6321.0,5932.0,5029.0,7264.0,6426.0,2457.0,256.0,812.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Croatia,239.0,352.0,299.0,344.0,281.0,383.0,157.0,161.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Italy,737.0,8611.0,7624.0,5452.0,5072.0,4884.0,1219.0,2198.0,545.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Cyprus,,87.0,113.0,75.0,118.0,55.0,,,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Latvia,56.0,133.0,193.0,235.0,311.0,456.0,169.0,237.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Lithuania,104.0,245.0,448.0,459.0,638.0,656.0,71.0,97.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Luxembourg,,,,,43.0,43.0,,,88.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Hungary,32.0,616.0,1117.0,689.0,1041.0,1332.0,34.0,54.0,115.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Malta,,,,,44.0,,,,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Netherlands,1352.0,2022.0,1821.0,1706.0,2413.0,1982.0,722.0,768.0,144.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Austria,414.0,1377.0,943.0,782.0,864.0,898.0,347.0,329.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Poland,1246.0,2292.0,3071.0,3101.0,4106.0,4157.0,60.0,841.0,495.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Portugal,335.0,1866.0,1465.0,1114.0,100.0,885.0,25.0,535.0,414.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Romania,503.0,1384.0,1331.0,1194.0,193.0,2193.0,508.0,292.0,1572.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Slovenia,181.0,166.0,235.0,217.0,225.0,216.0,42.0,6.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Slovakia,213.0,381.0,673.0,673.0,911.0,593.0,85.0,10.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Finland,23.0,615.0,629.0,653.0,82.0,813.0,318.0,244.0,66.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Sweden,34.0,1284.0,110.0,1099.0,1572.0,1481.0,638.0,521.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Iceland,,106.0,56.0,,,,,,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Norway,236.0,764.0,684.0,552.0,681.0,624.0,218.0,27.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Switzerland,586.0,1421.0,989.0,879.0,1067.0,101.0,347.0,544.0,98.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
United Kingdom,5504.0,7302.0,7213.0,5896.0,8376.0,7662.0,2558.0,4046.0,635.0,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
Türkiye,3283.0,4367.0,2622.0,1266.0,1974.0,1807.0,355.0,579.0,,Sheet 5,All ISCED 2011 levels,Total,50-74,Female
European_Union_27_countries_from_2020,638.0,5888.0,5134.0,4133.0,4499.0,4652.0,1295.0,1649.0,1268.0,Sheet 6,ISCED 0–2,Total,15-34,Female
European_Union_29_countries_from_2013-2020,776.0,6709.0,6144.0,5004.0,5394.0,5686.0,1518.0,1905.0,1365.0,Sheet 6,ISCED 0–2,Total,15-34,Female
Euro_area_19_countries_2015-2022,,4906.0,4309.0,3351.0,359.0,3799.0,1121.0,144.0,916.0,Sheet 6,ISCED 0–2,Total,15-34,Female
Belgium,39.0,8.0,10.0,123.0,14.0,103.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Bulgaria,,,,67.0,8.0,64.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Czechia,,,49.0,6.0,74.0,125.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Denmark,,212.0,238.0,173.0,161.0,136.0,,64.0,,Sheet 6,ISCED 0–2,Total,15-34,Female
Germany,,1302.0,1111.0,855.0,996.0,1521.0,506.0,524.0,,Sheet 6,ISCED 0–2,Total,15-34,Female
Estonia,,,,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Ireland,,,45.0,,41.0,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Greece,,36.0,63.0,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Spain,,849.0,727.0,607.0,675.0,726.0,136.0,326.0,178.0,Sheet 6,ISCED 0–2,Total,15-34,Female
France,,,,,553.0,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Croatia,,,,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Italy,,689.0,668.0,363.0,374.0,366.0,58.0,171.0,73.0,Sheet 6,ISCED 0–2,Total,15-34,Female
Cyprus,,,,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Latvia,,,,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Lithuania,,,,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Luxembourg,,,,,,,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
Hungary,,,95.0,45.0,58.0,107.0,,,,Sheet 6,ISCED 0–2,Total,15-34,Female
